criterion,count,qcet_id
Fluency,806,QOG-w-3
Relevance to Input,805,QIG-c-3
Factual Truth,778,QEC-c-1
Correctness of Outputs (outputs as a whole),694,QOC-w-1
Coherence,630,QOG-c-3
Overall Quality / Preference,499,AUX-OverallQuality
Consistency with Input,476,QIC-c-3
Absence of Omissions (relative to input),408,QIC-c-1
Informativeness,391,QOG-c-2
Internal Consistency of Outputs,333,QOG-c-4
Grammaticality,328,QOC-f-1
Appropriateness (outputs as a whole),287,QEG-w-2
Semantic Correctness,207,QOC-c-1
Naturalness (outputs as a whole),198,QEG-w-1
Usefulness for Task/Information Need,192,QEG-w-3.1
Clarity,181,QOG-w-5.1
Engagingness/Interestingness,178,QEF-w-10
Usefulness (nonspecific),171,QEG-w-3
Absence of Toxic / Harmful Content,168,QOC-c-2
Detectability of Speaker/Author Trait,145,QEF-w-5
Understandability,139,QOG-w-5
Classification Accuracy,137,QTC-w-1
Nonredundancy (output as a whole),121,QOG-w-1
Absence of Bias / Stereotypes,108,QEC-c-3
Nonredundancy (form),101,QOG-f-1
Translation Accuracy,96,QIC-w-1
User Satisfaction as Affected by Outputs,95,QEG-w-6
Readability,93,QOG-w-2
Diversity/Non-diversity (outputs as a whole),93,QOF-w-1
Absence of Additions (relative to input),89,QIC-c-2
Complete Target Output Matching,88,QTC-w-3
Humanlikeness,85,QOG-w-4
Specificity/Non-specificity (relative to input),82,QIF-c-3
Creativity/Non-creativity (outputs as a whole),82,QOF-w-6
Functional Correctness,81,QEC-w-1
Coverage of Topics (given in input),78,QIC-c-4
Control over Style,75,QIF-f-2
Complexity/Non-complexity (outputs as a whole),68,QOF-w-3
Empathy / Emotional Appropriateness,65,QEF-w-11
Degree to which Output Answers Question in Input,64,QIG-w-2
Similarity/Dissimilarity to Input (content/meaning),61,QIF-c-2
Adherence to Style Guide,61,QEC-f-1
Appropriateness (content/meaning),59,QEG-c-2
Similarity to Target Outputs (outputs as a whole),57,QTG-w-1
Relative Factual Accuracy,56,QEC-c-2
Effect on User Emotion,56,QEF-w-3
Similarity/Dissimilarity to Non-target Reference (content/meaning),54,QEF-c-1
Appropriateness (form),48,QEG-f-2
Meaning Accuracy,46,QTC-c-1
Wellorderedness,46,QOG-c-3.1
Answerability from Input,44,QIG-c-1
Similarity to Target Outputs (content/meaning),44,QTG-c-1
Control over Sentiment,40,QIF-w-2
Effect on User Stance,39,QEF-w-7
Speech Quality,39,QOG-f-2
Effect on User Behaviour,38,QEF-w-2
Nonredundancy (content/meaning),36,QOG-c-1
Quality as Explanation of Input,36,QIG-w-3
Appropriateness of System Response Type,35,QIG-f-1
System Usability as Affected by Outputs,32,QEG-w-5
Task Completion Speed,31,QEG-w-5.2
Cohesiveness,31,QOG-c-3.2
Complexity/Non-complexity (content/meaning),28,QOF-c-3
Goodness as Explanation of System Behaviour,27,QEG-w-4
Non-AI Likeness,21,QOG-w-4.2
Diversity/Non-diversity (content/meaning),21,QOF-c-1
Refusal Appropriateness,21,QEC-w-2
Ease of Communication,21,QEG-w-5.1
Output Length,20,QOF-f-5
Effect on User Opinion,19,QEF-w-6
Poeticness/Non-poeticness (outputs as a whole),18,QOF-w-2
Clarity of Referents,18,QEG-w-7
Spelling Accuracy,17,QOC-f-2
Detectability of Speaker/Author Stance,17,QEF-w-4
Naturalness (form),17,QEG-f-1
Sequence Labelling Accuracy,17,QTC-w-2
Success of Style Transfer from Sample,16,QIG-f-2
Diversity/Non-diversity (form),16,QOF-f-1
Parse Accuracy (with references),16,QTC-w-6
Control over Multiple Attributes,15,QIF-w-5
Humorousness/Non-humorousness,14,QOF-w-5
Win Rate,14,QEG-w-10
Formality/Informality,13,QOF-f-4
Complete Word Matching,13,QTC-w-3.1
Similarity/Dissimilarity to Input (outputs as a whole),12,QIF-w-4
Poeticness/Non-poeticness (form),12,QOF-f-2
Similarity/Dissimilarity to Non-target Reference (form),11,QEF-f-1
Cross-Dataset Generalisation,10,QTG-w-3
Speed of Understanding,10,QOG-w-5.1.1
Similarity/Dissimilarity to Input (form),10,QIF-f-4
Similarity/Dissimilarity to Non-target Reference (outputs as a whole),9,QEF-w-1
Poeticness/Non-poeticness (content/meaning),8,QOF-c-2
Sequence Alignment Accuracy,7,QTC-w-5
Interaction Completion Speed,7,QEF-w-8
Conformance to Syntactic Structure (given in input),7,QIC-f-1
Complexity/Non-complexity (form),7,QOF-f-3
Performance of an Embedding/Downstream System/Component,6,QEG-w-8
Similarity to Target Outputs (form),6,QTG-f-1
Output Size Relative to Input,6,QIF-f-3
Likelihood According to External Model,6,QEF-w-9
Control over Formality/Informality,5,QIF-f-2.1
Character Matching,5,QTC-w-3.2
Control over Complexity/Non-complexity (outputs as a whole),5,QIF-w-1
Form Accuracy,5,QTC-f-1
Pronunciation Accuracy,5,QOC-f-3
Parse Accuracy (reference-less),4,QIG-w-1
Native Speaker Likeness,4,QOG-w-4.1
Adherence to Syntactic Rules,4,QEC-f-2
Inclusion of Keywords (given in input),2,QIC-f-2
Control over Complexity/Non-complexity (form),2,QIF-f-1
Multi-task Performance,2,QEG-w-9
Conversationality/Non-conversationality,1,QOF-w-4
Retrieval Accuracy,1,QTC-w-4
Naturalness (content/meaning),1,QEG-c-1
"Absence of Omissions (relative to input, feature)",1,QIF-c-1
