normalized,total_count,num_variants,variants_with_counts,qcet_id
Correctness of Outputs (outputs as a whole),480,66,"correctness (173); accuracy (111); Correctness (83); Accuracy (40); soundness (5); error severity (3); Soundness (3); correct (2); incorrectness (2); information quality (2); Correctness (acceptability) (1); Inaccuracy (1); Mistake identification (1); Errors in output (1); Item Errors (1); Overall correctness (1); Response Correctness (1); Response correctness (1); binary error judgment (1); correctness of results (1); error spans (critical, major, minor, no-error) (1); likelihood of mistakes (1); no mistake (1); probability of correctness (1); Reasoning Error (1); Error severity (1); Correct (1); Other Error (1); Entity Error (1); Incorrect (1); incorrect (1); partial correctness (1); Distractor Common Mistakes (1); Errors (1); Linguistic Correctness (1); Over-correction (1); Other Errors (1); Violation status (1); correction (1); noise (1); Accuracy in evaluating response (1); Code Exist (1); Correctness of the response (1); Nested function calls (1); Plausible Error (1); Question validity (1); Secondary error (1); Sequence correctness (1); Spelling and Grammar (1); Technical correctness (1); computational mistakes (1); failure to generate correct response (1); mistake in first half (1); mistake in last step (1); mistake in second half (1); most information with minor omissions or inaccuracies (1); negation (1); precise response (1); problem-free response (1); spelling and punctuation (1); Presentation (1); response accuracy (1); Accuracy assessment (1); Completeness of variable assignment (1); Proficiency (1); violations (1)",QOC-w-1
Factual Truth,465,189,Factuality (36); factuality (32); factual consistency (25); factual correctness (22); truthfulness (20); Hallucination (16); Truthfulness (15); factual accuracy (12); Factual consistency (9); Honesty (8); Groundedness (8); honesty (8); groundedness (7); Plausibility (7); hallucination (7); Factual correctness (6); Factual accuracy (6); plausibility (6); Factual Accuracy (5); Factual Consistency (5); Factual Correctness (4); Knowledge (4); Believability (4); credibility (4); Hallucinations (3); factualness (3); hallucination rate (3); citation correctness (3); validity (3); Validity (3); hallucinations (2); hallucination presence (2); non-hallucination (2); Content accuracy (2); Content correctness (2); Information Accuracy (2); Technical Accuracy (2); factual alignment (2); factual support (2); citation quality (2); entity correctness (2); mathematical correctness (2); misinformation (1); Knowledge Accuracy (1); Knowledge Correctness (1); factual errors (1); Compliance with facts (1); Evidence Inference factuality (1); Fact Authenticity (1); Fact Correctness (1); Factual Alignment (1); Falsification (1); Hallucinatory Knowledge (1); Knowledge-Hallucination (1); Knowledge-Accuracy (1); Intervention factuality (1); Outcome factuality (1); Physical reality alignment (1); Real Knowledge (1); accurate information (1); avoidance of false/fabricated information (1); false prediction (1); hallucination avoidance (1); scientific accuracy (1); technical accuracy (1); Absence of Hallucinations (1); Accuracy of soccer events (1); Accuracy of factual content (1); Accurate reflection of fact (1); Checklist Correctness (1); Confabulation presence (1); Correctness of Claims (1); Correctness of Information (1); Data Accuracy (1); Exclusion of unsupported claims (1); Fact (1); Factual Validity (1); Knowledge accuracy (1); Overall factual correctness (1); STEM problem correctness (1); Truth (1); alignment with visual observations (1); answer factual accuracy (1); calculation accuracy (1); calculation correctness (1); confirmation of claims (1); correct object support (1); correctness of atomic facts (1); correctness of proposition (1); description accuracy (1); factual inaccuracies (1); factually correct (1); historical consistency (1); incorrect entities (1); incorrect location or position of finding (1); incorrect numbers (1); incorrect_information (1); information accuracy (1); nonfactual (1); truth (1); veracity (1); PLAUSIBILITY (1); knowledge (1); Trustworthiness (1); common sense (1); commonsense (1); Commonsense (1); commonsense alignment (1); Misleading (1); misleading (1); Plausible (1); Accuracy-Evidence (1); Citation Accuracy (1); Credibility of Evidence (1); Cultural Knowledge (1); Diagnostic Ability (1); Diagnostic and Treatment Abilities (1); Hallucination awareness (1); Honest (1); Journalistic Ethics (1); Knowledge Usage (1); Number Error (1); Numerical Accuracy (1); Population factuality (1); Recognition of alternative correct solutions (1); Technical Accuracy of Feature Linkages (1); Veracity Assignment (1); Urban Elements/Scenes Understanding (1); accuracy of treatment plan (1); attribution correctness (1); contradicted (1); factual inconsistency (1); groundness (1); hallucination robustness (1); incorrect location or position (1); incorrect severity (1); inclusion of negative clinical details (1); inclusion of positive clinical details (1); misleadingness (1); Mathematical Correctness (1); mathematical rigor (1); reference to reliable sources (1); Calculation correctness (1); Clinical accuracy (1); Correct identification and correction of known knowledge errors (KKE) (1); Correctness of drug recommendation (1); Correctness of legal article references (1); definition accuracy (1); Date Errors (1); Deception level (1); Factual alignment (1); Factual contradiction (1); Hallucination Rate (1); Layout description accuracy (1); Medical factuality (1); No Fact (1); Partial fact entailment (1); Partial Lie (1); Positioning inaccurate context (1); STEM knowledge (1); Semantic plausibility (1); Unverifiable Hallucination (1); Unit correctness (1); Verification (1); Vulnerability type correctness (1); accurate parameters (1); accurate role-related knowledge (1); accuracy of uncertainty expression (1); booking correctness (1); commonsense logic (1); commonsense validation (1); commonsense consistency (1); correct risk identification (1); detection of object absence (1); factual knowledge (1); false prediction of finding (1); faithful/hallu/irrelevant (1); hallucination level (1); hallucination severity (1); hallucinated span identification (1); humanities/social science knowledge (1); incorrect severity of finding (1); knowledge consolidation correctness (1); knowledge discovery quality (1); knowledge presence (1); numerical value accuracy (1); object correctness (1); use of verifiable evidence (1); data accuracy (1),QEC-c-1
Relevance to Input,438,110,relevance (187); Relevance (100); adequacy (7); topic relevance (6); Relevancy (5); Context Relevance (4); semantic relevance (4); Relationship (4); Relevant (3); context relevance (3); Adequacy (2); Maintains Context (2); contextual relevance (2); Answer Relevance (2); Relatedness (2); Content relevance (2); relevance to query (2); Relevance and Focus (2); content relevance (2); thematic relevance (2); Contextual Understanding (2); Irrelevance (2); Topic Relevance (2); contextual understanding (2); Topicality (2); relevancy (1); relevant (1); Answer Relevancy (1); Content Relevance (1); Description Relevance (1); Language Relevance (1); POI Relevance (1); REL (1); Relatedness (instruction following) (1); Relevance to context (1); Semantic relevance (1); contextual-relevance (1); Alignment with task instruction (1); Context Relevancy (1); Contextual relevance of each response across turns (1); Direct addressal of prompt (1); Fit to prompt (best vs worst) (1); Follows User Query (1); Instruction relevance (1); Not Relevant (1); On-topic relevance (1); Relevance to query (1); Relevance of retrieved knowledge (1); Relevant recommendations (1); Video-Text Relevance (1); answer relevance (1); answer relevancy (1); overall relevance (1); relevance to content (1); relevance to document (1); relevance to main focus (1); relevance to instruction (1); relevance to intent (1); solution relevance to instruction (1); step relevance (1); supportiveness of document for answering the query (1); task relevance (1); topical relevance (1); relationship (1); knowledge relevance (1); Visual Relevance (1); attribute relevance (1); Anchor Relevance (1); Clinical relevance (1); Image Groundedness (1); Node Relevance (1); Logical Relevance (1); Question Relevance (1); Target Relevance (1); TextUtilization (1); Visual Grounding (1); visual grounding (1); conceptual intent (1); citation relevance (1); context capture (1); Focus (1); text-image relevance (1); video relevance (1); Answer uses context (1); Contextual understanding (1); Conversation revision quality (1); Goal purpose understanding (1); Handling Ambiguity (1); Implicit Information Inference (1); Instruction-following Quality (1); Instruction-following ability (1); instruction-following ability (1); Instructional Adaptation Effectiveness (1); Instruction satisfaction (1); On track (1); Question&Answer Relevance (1); Relevance of Changes (1); Tool Relevance (1); alignment with user hint (1); context supports answer (1); context understanding (1); factual relevance (1); image awareness (1); some relevant information (1); whether retrieved documents can support answering the question (1); Context Integration (1); Contextual dependency (1); Contextual Awareness (CA) (1); document-topic alignment (1); seamless integration of context (1),QIG-c-3
Coherence,279,70,coherence (93); Coherence (67); logical coherence (8); Logical Coherence (7); Logical coherence (6); semantic coherence (5); Logic (5); Reasoning (5); reasoning (5); logic (5); coherency (3); logical flow (3); continuity (3); Coherent (2); logicality (2); Logicality (2); Coherence and Organization (2); Semantic coherence (2); rationality (2); Storyline Quality (2); Sensibleness (1); Coherency (1); Behavioral Coherence (1); COHERENCE (1); Reasoning Logical Flow (1); Scenario Coherence (1); argument-coherence (1); Coherence in long-form writing (1); Coherence of reasoning logic (1); Connection (1); Incoherence (1); Linguistic Coherence (1); Reasoning coherence (1); Smooth and logically connected information flow (1); Structural Coherence (1); storyline coherence (1); textual coherence (1); Argument Quality (1); argument quality (1); Consistency & coherence (1); Discourse consistency (1); Logic and Structure (1); Logical Flow (1); Narrative Quality (1); Reasonable (1); Storytelling (1); naturalness of topic shift (1); structural integrity (1); Contextual Coherence (1); Focus Score (1); Graph Coherence (1); Incoherent Steps Error (1); Logos (1); Long-Range Relational Dependency (1); Logicality of Argumentation (1); Organization Score (1); Reasonableness of descriptions (1); Reasonableness of the explanation (1); Reasoning Path Quality (1); Story-likeness (1); Temporal coherence (1); causal connections (1); composition score (1); overall structure (1); quality of reasoning steps (1); semantic trajectory (1); semantic completeness and coherence of answer options (1); semantic completeness and coherence of question (1); storyline logicality (1); sensibility (1),QOG-c-3
Consistency with Input,260,137,"faithfulness (43); Faithfulness (23); instruction-following (11); entailment (7); Entailment (7); instruction following (7); Instruction following (7); Instruction Following (6); meaning preservation (3); Adherence to instructions (3); Constraint satisfaction (3); Compliance (3); Instruction-following (3); fidelity (2); constraint satisfaction (2); Grounding (2); Character Fidelity (2); misunderstanding (2); instruction_following (2); compliance (2); instruction compliance (2); contextual consistency (2); constraint compliance (2); context consistency (1); Adherence to prompt and instructions (1); Context Maintenance (1); Image-text consistency (1); Rule adherence (1); Alignment with user intent (1); Consistency with original text (1); Consistency with specified genders (1); Contradictions in present and previous messages (1); Faithful reflection of input (1); Faithfulness/Consistency (1); Knowledge groundedness (1); Neglecting the context (1); adherence to intent constraints (1); faithfulness to chat history (1); intent consistency (1); rule application correctness (1); Meaning Preservation (1); Meaning preservation (1); adherence to instructions (1); Constraint Satisfaction (1); Visual Consistency (1); Answer Faithfulness (1); Attribution Failure (1); Contextual logic (1); Context Misdirection (1); Instruction Fulfillment (1); Role Knowledge (1); Role-Adherence (1); adherence to prompt (1); accurate representation of source transcript (1); constraint violation (1); entailed (1); logical entailment (1); text-image coherence (1); Accuracy of modifications (1); Alignment with formula (1); Alignment with initial conversational intent (1); Answer item mapping (1); Argument alignment (1); Carry-over correctness (1); Character (names, actions, emotions) (1); Chart Type (1); Condition satisfaction (1); Consistency with UNSAT-core (1); Context Fidelity (1); Contextual consistency (1); Contradictory Hallucination (1); Correct Filtering Conditions (1); Correctness and Fidelity (1); Field Misinterpretation (1); Handling of Nullable Columns (1); Meaning alteration (1); Modality Grounding (1); presupposition (1); Question&Answer Consistency (1); Repetitions between current and history replies (1); Role-playing Accuracy (1); Schema Alignment (1); Topic correctness (1); User Intention Inference (1); adherence to educational objectives (1); alignment with rationale (1); alignment with requirements (1); alignment with user intent (1); answer support (1); assessment of goal feasibility (1); attribute correctness (1); built-in requirements (1); consistency with final answer (1); consistency with the guide (1); context memory (1); correct output language (1); evidence grounding (1); expected language (1); factual coherency between answer and ambiguous question (1); faithfulness (rational/grounded/unequivocal) (1); honestly/precisely/closely executes the instruction (1); inconsistent_answer (1); intent capture (1); instruction-following capability (1); intent verification (1); narrative adherence (1); object quantity (1); object interactions (1); refusal compliance (1); spatial relationship (1); spatial relationships (1); strategy adherence (1); support alignment (1); Fidelity (1); Parameter mapping correctness (1); Answer Compatibility (1); Semantic Fidelity (1); Visual Faithfulness (1); constraint adherence (1); Alignment with premise (1); Alignment with requirements (1); Conceptual Alignment (1); Errors that significantly alter the meaning of the image (1); Instruction-following capability (1); Failed instruction following (1); Faithfulness and correctness (for summarization) (1); Rationale alignment (1); consistency with beginning (1); correspondence (1); consistency with visual context (1); constraint following (1); constraint fulfillment (1); instruction following ability (1); instruction following capability (1); information-mismatch (1); instruction alignment quality (1); target consistency (1)",QIC-c-3
Absence of Toxic / Harmful Content,241,58,"harmfulness (42); harmlessness (35); safety (31); Safety (29); Harmlessness (26); Harmfulness (12); toxicity (8); Toxicity (6); Harmful content (2); harm (2); Offensiveness (1); hatefulness (1); Disparagement (1); Harmless (1); Illegal Activities (1); Illegal activities (1); Morality Threat (1); Privacy leakage (1); Realistic Threat (1); Safety (safe vs unsafe) (1); Social Harm (1); maladaptive cognitions (1); overall offensiveness (1); Dangerousness (1); Detail level of unsafe content (1); Ethical violation (1); harmful (1); Hurtfulness (1); Non-toxicity (1); PII leakage detection (1); Presence of personally identifiable information (1); Presence of sensitive data (1); Problematic Content (1); Safety compliance (1); safety compliance (1); Safe with warning (1); Safety (potential physical harm) (1); Safety (unsafe vs. safe) (1); Safety Classification (1); Safety assessment (1); Self-harm (1); Toxic language (1); Toxicity (three-class: non-toxic, explicit toxic, implicit toxic) (1); Toxicity level (1); Unsafe Category (1); Violence (1); avoidance of unrest (1); benign vs malicious (1); content safety (1); detoxification preference (1); harmfulness detection (1); harmfulness of response (1); incitement of violence (1); malicious content (1); maliciousness (1); policy-violating content (1); safety violation (1); toxic content detection (1)",QOC-c-2
Usefulness (nonspecific),236,12,helpfulness (137); Helpfulness (77); usefulness (9); Usefulness (3); Helpful (2); Utility (2); utility (1); Overall Usefulness (1); Reasoning Usefulness (1); constructiveness (1); Constructiveness (1); Alignment with desired outcomes (1),QEG-w-3
Overall Quality / Preference,223,68,overall quality (33); quality (23); Quality (20); Overall Quality (17); preference (17); Overall quality (13); Preference (10); Overall (9); response quality (8); preference alignment (4); overall (3); overall score (3); Response quality (3); Response Quality (3); Overall Score (2); Overall score (2); text quality (2); Text Quality (1); overall response quality (1); Overall response quality (1); summary quality (1); Aesthetic Quality Score (1); Align (1); Experience (1); good (1); Instruction Quality (1); instruction quality (1); Overall Assessment (1); Overall assessment (1); Overall Impression (1); Quality (good/bad) (1); Questioning Skills (1); Segment Quality (1); Skill (1); Skillfulness (1); Writing Quality (1); Writing and Language (1); holistic (1); overall preference/quality (1); unacceptable (1); feedback quality (1); Help-Seeker Standard (1); Open-ended response scoring (0-10 scale) (1); Overall Judgment (1); Overall Winner (1); Overall story quality (1); overall story quality (1); Overall trajectory quality (1); Overall score (ultrafeedback-overall_score) (1); Preference Ranking (1); Preference for strengtheners (1); Preference for weakeners (1); Preference on response A or B or tie (1); preferences (1); Quality of generated responses (1); Solution quality (1); Subjective characteristic quality (1); System Performance (1); assessment score (1); event summary (1); good example (1); quality (1-5 rating) (1); quality score (1); quality of comments (1); segment-level quality (1); General generation quality (1); generation quality (1); quality rating (1),AUX-OverallQuality
Absence of Omissions (relative to input),196,89,completeness (38); Completeness (36); comprehensiveness (12); Comprehensiveness (10); information coverage (5); Omission (4); omission (3); sufficiency (2); information completeness (2); content completeness (2); Sufficiency (2); Inclusion (2); Object presence (2); omissions (1); label adherence (1); information loss (1); missing (1); under-translation (1); Missing information (1); No Missing Steps (1); Respects Guided Questions (1); omission of comparison describing a change from previous study (1); no-omission (1); Complete (1); Completeness of requirements (1); Completeness of Instruction Following (1); Content completeness (1); No-Omissions (1); Preservation of necessary information (1); element inclusion (1); full coverage (1); missing_information (1); omission of comparison describing change from previous study (1); omission of finding (1); partial coverage (1); whether all instructions are fulfilled (1); Atomic fact presence (1); Complete Response (1); Completeness of Essential Features (1); Evidence Support (1); Information Completeness (1); Information coverage (1); Partial refusal (1); Partial Refusal (1); Partial support (1); Response Completeness (1); Semantic Completeness (1); entity presence (1); feature completeness (1); recall of diagnosis (1); Accounting for Multiple Rows (1); Action presence (1); Answer item extraction (1); Comment inclusion (1); Concept coverage (1); Concept incorporation (1); Context Recall (1); Dimension-wise completeness (1); Distractor presence (1); Feedback common points (1); Knowledge Recall (1); Missed function or parameters (1); Missing step (1); Not Enough Info (1); One Step Missing Error (1); Requirement priority fulfillment (1); Step completeness (1); Strengths and Weaknesses (1); Wrong summarization (1); add missing conceptual nodes (1); analysis completeness (1); argument completeness (1); comprehensive symptom description (1); coverage of key points (1); existence of visual concepts (1); fact omission (1); formation of complete multiple-choice question (1); incomplete_reasoning (1); information comprehensiveness (1); information match (1); lack_justification (1); neglect of factual information (1); nuance preservation (1); presence score (0-1) (1); property presence (1); recall score of correct claims (1); Content Coverage (1); complete (1); content adequacy (1),QIC-c-1
Internal Consistency of Outputs,187,71,consistency (56); Consistency (37); logical consistency (9); contradiction (6); semantic consistency (5); Contradiction (5); Semantic consistency (4); Logical consistency (2); inconsistency (1); Contradict (1); Consistency in Terminology (1); Content Consistency (1); Internal consistency (1); Logical Consistency (1); Storyline Consistency (1); answer consistency (1); motivation consistency (1); non-contradiction (1); Informational consistency (1); Internal Consistency (1); Legal Consistency (1); Logically Consistent (1); No Discrepancy (1); Reasoning Integrity (1); Semantic Consistency (1); Trace-Answer Consistency (1); beliefs consistency (1); causal consistency (1); consistency of answers (1); dialogue consistency (1); internal contradiction (1); linguistic consistency (1); logical plausibility (1); logical relation consistency (1); patterns or inconsistencies in content (1); reasoning consistency (1); Contradictory (1); logical soundness (1); AD CONSISTENCY (1); conflict (1); Cross passage consistency (1); Disagreement (1); Disagreement with narrative (1); disagreement with narrative (1); Edit consistency (1); Role-Playing Consistency (1); stylistic consistency (1); action consistency (1); World-Building and Setting (1); Writing Style Consistency (1); behavioral logic (1); receptivity consistency (1); stance consistency (1); textual tone of voice consistency (1); terminology consistency (1); Gender representation consistency (1); Motivational consistency (1); Plot consistency (1); Structural consistency (1); Surface-level consistency (1); attitude flow consistency (1); balanced reasoning justification (1); contradiction validity (1); fallacy class consistency (1); identity contradiction (1); knowledge consistency (1); legal soundness (1); logical alignment (1); pair consistency (1); preferred change plans consistency (1); multi-hop type consistency (1),QOG-c-4
