paper_id,venue,year,tasks,has_auto_metrics,has_llm_judge,has_human_eval
2023.emnlp-main.127,EMNLP,2023,Text Summarization,True,True,True
2023.emnlp-main.624,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.506,EMNLP,2023,Text Summarization,True,False,False
2023.emnlp-main.76,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.920,EMNLP,2023,Text Summarization,True,False,False
2023.emnlp-main.1007,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.703,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.714,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.909,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.258,EMNLP,2023,Text Summarization,True,False,False
2023.emnlp-main.707,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.498,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.679,EMNLP,2023,Text Summarization,True,True,True
2023.emnlp-main.133,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.352,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.505,EMNLP,2023,Text Summarization,True,True,True
2023.emnlp-main.753,EMNLP,2023,Text Summarization,True,False,False
2023.emnlp-main.977,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.551,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.673,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.984,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.251,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.465,EMNLP,2023,Text Summarization,False,False,False
2023.emnlp-main.600,EMNLP,2023,Text Summarization,True,True,True
2023.emnlp-main.40,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.165,EMNLP,2023,Text Summarization,True,False,False
2023.emnlp-main.53,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.158,EMNLP,2023,Text Summarization,True,False,False
2023.emnlp-main.474,EMNLP,2023,Text Summarization,True,True,True
2023.emnlp-main.519,EMNLP,2023,Text Summarization,True,True,True
2023.emnlp-main.676,EMNLP,2023,Text Summarization,True,True,True
2023.emnlp-main.166,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.1018,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.240,EMNLP,2023,Text Summarization,True,False,False
2023.emnlp-main.74,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.389,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.121,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.891,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.626,EMNLP,2023,Text Summarization,False,False,True
2023.emnlp-main.584,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.812,EMNLP,2023,Text Summarization,True,False,False
2023.emnlp-main.59,EMNLP,2023,Text Summarization,True,False,True
2023.emnlp-main.337,EMNLP,2023,Text Summarization,True,False,True
2024.emnlp-main.557,EMNLP,2024,Text Summarization,True,True,True
2024.emnlp-main.1120,EMNLP,2024,Text Summarization,True,True,True
2024.emnlp-main.519,EMNLP,2024,Text Summarization,True,True,True
2024.emnlp-main.3,EMNLP,2024,Text Summarization,True,True,False
2024.emnlp-main.782,EMNLP,2024,Text Summarization,True,False,False
2024.emnlp-main.728,EMNLP,2024,Text Summarization,True,True,True
2024.emnlp-main.935,EMNLP,2024,Text Summarization,True,False,True
2024.emnlp-main.1164,EMNLP,2024,Text Summarization,True,False,False
2024.emnlp-main.73,EMNLP,2024,Text Summarization,False,False,False
2024.emnlp-main.1190,EMNLP,2024,Text Summarization,True,False,False
2024.emnlp-main.838,EMNLP,2024,Text Summarization,True,False,True
2024.emnlp-main.767,EMNLP,2024,Text Summarization,True,False,True
2024.emnlp-main.456,EMNLP,2024,Text Summarization,True,True,True
2024.emnlp-main.923,EMNLP,2024,Text Summarization,True,True,True
2024.emnlp-main.1106,EMNLP,2024,Text Summarization,True,True,True
2024.emnlp-main.1078,EMNLP,2024,Text Summarization,True,True,False
2024.emnlp-main.603,EMNLP,2024,Text Summarization,True,True,True
2024.emnlp-main.2,EMNLP,2024,Text Summarization,True,False,False
2024.emnlp-main.552,EMNLP,2024,Text Summarization,True,True,True
2024.emnlp-main.402,EMNLP,2024,Text Summarization,False,False,True
2024.emnlp-main.984,EMNLP,2024,Text Summarization,True,False,True
2024.emnlp-main.1085,EMNLP,2024,Text Summarization,True,True,True
2024.emnlp-main.1048,EMNLP,2024,Text Summarization,True,False,False
2024.emnlp-main.837,EMNLP,2024,Text Summarization,True,True,True
2025.emnlp-main.10,EMNLP,2025,Text Summarization,True,True,True
2025.emnlp-main.1535,EMNLP,2025,Text Summarization,True,False,True
2025.emnlp-main.1110,EMNLP,2025,Text Summarization,True,False,True
2025.emnlp-main.984,EMNLP,2025,Text Summarization,True,True,True
2025.emnlp-main.1225,EMNLP,2025,Text Summarization,True,True,True
2025.emnlp-main.1531,EMNLP,2025,Text Summarization,True,True,True
2025.emnlp-main.1241,EMNLP,2025,Text Summarization,True,True,True
2025.emnlp-main.170,EMNLP,2025,Text Summarization,False,False,False
2025.emnlp-main.909,EMNLP,2025,Text Summarization,True,False,True
2025.emnlp-main.43,EMNLP,2025,Text Summarization,True,True,True
2025.emnlp-main.1388,EMNLP,2025,Text Summarization,True,True,True
