merged_label,total_count,num_variants,variants_with_counts
Preference,136,2,Preference (134); Preferences (2)
Error,75,2,Error (41); Errors (34)
Information,71,2,Information (70); Informational (1)
Emotion,55,2,Emotion (54); Emotions (1)
Omission,35,2,Omission (26); Omissions (9)
Equivalence,33,2,Equivalence (32); Equivalency (1)
Detail,30,2,Detail (26); Details (4)
Repetition,29,2,Repetition (27); Repetitions (2)
Instruction,28,3,Instruction (26); Instructional (1); Instructions (1)
Contradiction,25,3,Contradiction (23); Contradicting (1); Contradictions (1)
Relation,25,2,Relation (16); Relations (9)
Question,24,2,Question (21); Questions (3)
Entity,20,2,Entity (19); Entitye (1)
Sentence,19,2,Sentence (17); Sentences (2)
Correction,17,2,Correction (16); Corrections (1)
Semantics,17,2,Semantics (14); Semantic (3)
Groundedness,16,2,Groundedness (15); Groundness (1)
Length,16,2,Length (15); Lengthy (1)
Reference,13,2,Reference (11); References (2)
Topic,13,2,Topic (10); Topics (3)
Topicality,13,2,Topicality (8); Typicality (5)
Conversation,12,3,Conversation (5); Conversational (5); Conversion (2)
Difficulty,12,2,Difficulty (11); Difficult (1)
Other,12,2,Other (11); Others (1)
Mistranslation,11,2,Mistranslation (9); Mistranslations (2)
Difference,10,2,Difference (8); Differences (2)
Strength,10,2,Strength (9); Strengths (1)
Suggestion,10,2,Suggestion (9); Suggestions (1)
Answer,9,2,Answer (6); Answers (3)
Personal,9,2,Personal (6); Persona (3)
Rating,9,2,Rating (7); Ratings (2)
Interaction,8,3,Interaction (4); Integration (3); Interactions (1)
Experience,8,2,Experience (7); Experiences (1)
Aesthetics,7,2,Aesthetics (5); Aesthetic (2)
Argument,7,2,Argument (6); Arguments (1)
Dependence,7,2,Dependence (4); Dependency (3)
Element,7,2,Element (5); Elements (2)
Likability,7,2,Likability (5); Likeability (2)
Relationship,7,2,Relationship (6); Relationships (1)
Action,6,2,Action (5); Actions (1)
Adaptability,6,2,Adaptability (5); Adoptability (1)
Aspect,6,2,Aspect (4); Aspects (2)
Behavior,6,2,Behavior (4); Behaviors (2)
Education,6,2,Education (3); Educational (3)
Intention,6,2,Intention (5); Intentions (1)
Issues,6,2,Issues (5); Issue (1)
Mistakes,6,2,Mistakes (5); Mistake (1)
Response,6,2,Response (3); Responses (3)
Violation,6,2,Violation (5); Violations (1)
Appeal,5,2,Appeal (4); Appeals (1)
Conflict,5,2,Conflict (4); Conflicts (1)
Concept,4,2,Concept (3); Concepts (1)
Convention,4,2,Convention (2); Conventions (2)
Description,4,2,Description (2); Descriptions (2)
Event,4,2,Event (2); Events (2)
Failure,4,2,Failure (3); Failures (1)
Humor,4,2,Humor (3); Humour (1)
Interpretation,4,2,Interpretation (3); Interpretations (1)
Label,4,2,Label (3); Labels (1)
Location,4,2,Location (3); Locations (1)
Mention,4,2,Mention (2); Mentions (2)
Paraphrase,4,2,Paraphrase (3); Paraphrases (1)
Patterns,4,2,Patterns (3); Pattern (1)
Skills,4,2,Skills (3); Skill (1)
Theme,4,2,Theme (2); Themes (2)
Transition,4,2,Transition (3); Transitions (1)
Values,4,2,Values (3); Value (1)
Acknowledgement,3,2,Acknowledgement (2); Acknowledgment (1)
Contradicted,3,2,Contradicted (2); Contradict (1)
Contribution,3,2,Contribution (2); Contributions (1)
Environment,3,2,Environment (2); Environmental (1)
Inference,3,2,Inference (2); Inferences (1)
Operation,3,2,Operation (2); Operations (1)
Opinion,3,2,Opinion (2); Opinions (1)
Options,3,2,Options (2); Option (1)
Subjects,3,2,Subjects (2); Subject (1)
Agree,2,2,Agree (1); Agrees (1)
Claim,2,2,Claim (1); Claims (1)
Comment,2,2,Comment (1); Comments (1)
Confusion,2,2,Confusion (1); Confusions (1)
Distortion,2,2,Distortion (1); Distortions (1)
Feature,2,2,Feature (1); Features (1)
Generalization,2,2,Generalization (1); Generalizations (1)
Marker,2,2,Marker (1); Markers (1)
Meteor,2,2,Meteor (1); Meter (1)
Negative,2,2,Negative (1); Negatives (1)
Personableness,2,2,Personableness (1); Personalness (1)
Reward,2,2,Reward (1); Rewards (1)
Section,2,2,Section (1); Sections (1)
Shape,2,2,Shape (1); Shapes (1)
Situation,2,2,Situation (1); Situational (1)
Sound,2,2,Sound (1); Sounds (1)
Statement,2,2,Statement (1); Statements (1)
