criterion,count
fluency,477
relevance,280
Fluency,269
coherence,248
correctness,211
informativeness,183
Coherence,163
Relevance,155
accuracy,139
naturalness,116
overall quality,108
faithfulness,101
Informativeness,97
consistency,90
Correctness,87
helpfulness,75
Accuracy,71
Consistency,71
grammaticality,67
completeness,65
adequacy,64
preference,60
factuality,58
clarity,56
readability,54
quality,46
Completeness,45
Naturalness,45
conciseness,45
Factuality,42
Faithfulness,42
Helpfulness,39
diversity,39
Overall,38
Overall Quality,36
appropriateness,36
factual consistency,36
Readability,35
plausibility,35
coverage,32
grammar,32
validity,32
Conciseness,31
Empathy,31
Clarity,30
Grammaticality,30
factual correctness,30
grammatical correctness,29
meaning preservation,28
engagingness,27
specificity,27
Quality,26
hallucination,26
semantic similarity,23
content preservation,22
interestingness,22
safety,22
usefulness,22
Appropriateness,21
Preference,21
answerability,21
understandability,21
Creativity,20
Diversity,20
Plausibility,20
Specificity,20
Grammar,19
Safety,19
translation quality,19
Answerability,18
Hallucination,18
comprehensiveness,18
semantic equivalence,18
Content Preservation,17
Engagement,17
Engagingness,17
acceptability,17
simplicity,17
Coverage,16
Style,16
alignment,16
non-redundancy,16
redundancy,16
speaker similarity,16
Comprehensiveness,15
Overall quality,15
creativity,15
harmfulness,15
meaningfulness,15
reasonableness,15
Factual correctness,14
Interestingness,14
overall,14
overall preference,14
repetition,14
similarity,14
Adequacy,13
Understandability,13
Usefulness,13
answer correctness,13
complexity,13
factual accuracy,13
fidelity,13
human-likeness,13
style,13
toxicity,13
truthfulness,13
Harmlessness,12
Validity,12
precision,12
realism,12
Meaning Preservation,11
Novelty,11
Truthfulness,11
confidence,11
effectiveness,11
empathy,11
harmlessness,11
logical consistency,11
satisfaction,11
semantic preservation,11
Persuasiveness,10
Toxicity,10
engagement,10
reliability,10
semantic consistency,10
Factual accuracy,9
Grammatical Correctness,9
Human-likeness,9
Identification,9
Interesting,9
Redundancy,9
ambiguity,9
attribution,9
audio quality,9
intelligibility,9
level of detail,9
omission,9
Complexity,8
Content,8
Factual Consistency,8
Groundedness,8
Logical Coherence,8
Meaning preservation,8
Other,8
Overall preference,8
Similarity,8
Simplicity,8
Understanding,8
novelty,8
omissions,8
persuasiveness,8
recall,8
salience,8
semantic coherence,8
semantics,8
Attractiveness,7
Coherency,7
Comforting,7
Depth,7
Effectiveness,7
Factual Accuracy,7
Feasibility,7
Humanness,7
Satisfaction,7
Sensibleness,7
Soundness,7
Succinctness,7
Suggestion,7
authenticity,7
content,7
cultural relevance,7
logical coherence,7
offensiveness,7
relevancy,7
relevant,7
sensibleness,7
understanding,7
Actionability,6
Answer correctness,6
Confidence,6
Entailment,6
Hallucinations,6
Instruction Following,6
Knowledge,6
Language Fluency,6
Originality,6
Precision,6
Reasoning Error,6
Relevancy,6
Topicality,6
Verifiability,6
bias,6
coherency,6
contradiction,6
entailment,6
groundedness,6
hallucinations,6
humanness,6
meaning,6
persona consistency,6
relatedness,6
success,6
succinctness,6
sufficiency,6
support,6
syntactic correctness,6
Ambiguity,5
Answer Correctness,5
Bias,5
Coherent,5
Contradiction,5
Cultural relevance,5
Factual Correctness,5
Grammatical correctness,5
Harmfulness,5
Honesty,5
Informative,5
Logic,5
Maintains Context,5
Non-redundancy,5
Omission,5
Overall Preference,5
Personalization,5
Proactivity,5
Prosody,5
Recall,5
Reliability,5
Richness,5
Semantic Correctness,5
Terminology,5
Trustworthiness,5
Usability,5
addition,5
comprehensibility,5
content quality,5
difficulty,5
fairness,5
feasibility,5
formality,5
image quality,5
inconsistency,5
interesting,5
logicality,5
meaning similarity,5
mistranslation,5
neutral,5
originality,5
overall translation quality,5
rationality,5
semantic adequacy,5
sentiment,5
soundness,5
spelling,5
suitability,5
trust,5
typicality,5
usability,5
well-formedness,5
Acceptability,4
Alignment,4
Authenticity,4
COVERAGE,4
Comprehensibility,4
Comprehension,4
Concise,4
Content Richness,4
Content preservation,4
Context Coherence,4
Context Relevance,4
Context error,4
Contextual Relevance,4
Fidelity,4
Intelligibility,4
Language Quality,4
Logicality,4
Meaningfulness,4
Not checkable,4
Rationality,4
Reasoning,4
Relevant,4
Sentiment,4
Structure,4
Style Accuracy,4
Style Transfer Accuracy,4
Success Rate,4
Sufficiency,4
Supported,4
Topic relevance,4
Translation accuracy,4
Understandable,4
Uses Knowledge,4
Well-formedness,4
answer accuracy,4
attractiveness,4
citation precision,4
citation recall,4
content richness,4
context relevance,4
contextual relevance,4
correctness of answer,4
data coverage,4
depth,4
detail,4
ease of use,4
efficiency,4
error severity,4
formatting,4
friendliness,4
grammar correctness,4
grammatical,4
hallucination detection,4
honesty,4
importance,4
label consistency,4
language fluency,4
language quality,4
length,4
makes sense,4
match,4
non-triviality,4
paraphrasing,4
proactivity,4
representativeness,4
semantic alignment,4
semantic correctness,4
sensibility,4
sentence structure,4
specific,4
structure,4
success rate,4
topic relevance,4
translation accuracy,4
Acceptable,3
Adaptability,3
Addition,3
Breadth,3
Cohesion,3
Common Sense,3
Correct,3
Efficiency,3
Expression,3
FAITHFULNESS,3
Factualness,3
Formality,3
Funniness,3
Grounding,3
Guidance,3
INFORMATIVENESS,3
Importance,3
Incorrect number,3
Incorrect word,3
Intent,3
