raw_string,source,occurrences_llm,occurrences_human,chosen_id,chosen_name,chosen_type,chosen_source,stage1_qcet_id,stage1_qcet_fit,stage2_cluster_id,fit,construct,justification,cache_hit,error,override_applied
fluency,both,88,477,QOG-w-3,Fluency,qcet,stage1_exact,QOG-w-3,strong,,strong,output smoothness and flow,Exact match to QCET leaf definition.,,,
relevance,both,187,280,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,output pertinence to input,Directly matches QCET's input-relative relevance.,,,
coherence,both,93,248,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,logical content connections,Exact match to QCET content-coherence leaf.,,,
Fluency,both,62,269,QOG-w-3,Fluency,qcet,stage1_exact,QOG-w-3,strong,,strong,output smoothness and flow,Case variation of exact QCET match.,,,
Relevance,both,100,155,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,output relevance to input,Direct match to QCET leaf for input relevance.,,,
Coherence,both,67,163,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,logical connection of ideas,Exact match to QCET coherence definition.,,,
informativeness,both,35,183,QOG-c-2,Informativeness,qcet,stage1_exact,QOG-c-2,strong,,strong,information density,Direct synonym of QCET informativeness leaf.,,,
helpfulness,both,137,75,QEG-w-3,Usefulness (nonspecific),qcet,stage1_exact,QEG-w-3,strong,,strong,practical utility to user,Helpfulness directly implies nonspecific usefulness.,,,
Correctness,both,83,87,QOC-w-1,Correctness of Outputs (outputs as a whole),qcet,stage1_exact,QOC-w-1,strong,,strong,absence of errors in output,General term matching overall correctness.,,,
consistency,both,56,90,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,internal consistency of output,Matches self-consistency in content.,,,
naturalness,both,24,116,QEG-w-1,Naturalness (outputs as a whole),qcet,stage1_exact,QEG-w-1,strong,,strong,naturalness of output,Direct match to QCET leaf.,,,
Informativeness,both,30,97,QOG-c-2,Informativeness,qcet,stage1_exact,QOG-c-2,strong,,strong,information content of output,Exact match to QCET leaf QOG-c-2.,,,
Helpfulness,both,77,39,QEG-w-3,Usefulness (nonspecific),qcet,stage1_exact,QEG-w-3,strong,,strong,usefulness to the user,Synonym for nonspecific usefulness.,,,
Accuracy,both,40,71,QOC-w-1,Correctness of Outputs (outputs as a whole),qcet,polysemous_override(was:QEC-c-1),QOC-w-1,strong,,strong,factual correctness of outputs,Directly matches factual truth criterion without broader context.,,,Y
Consistency,both,37,71,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,internal consistency in content,Exact match to QCET leaf QOG-c-4.,,,
clarity,both,35,56,QOG-w-5.1,Clarity,qcet,stage1_exact,QOG-w-5.1,strong,,strong,output clarity,Direct match to QCET's clarity leaf.,,,
factuality,both,32,58,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,factual truthfulness,Synonymous with factual truth criterion.,,,
Factuality,both,36,42,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,factual truthfulness,"Identical to item 2, strong fit.",,,
grammaticality,both,9,67,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,absence of grammatical errors,Direct match to QCET leaf for grammatical errors.,,,
readability,both,18,54,QOG-w-2,Readability,qcet,stage1_exact,QOG-w-2,strong,,strong,ease of reading output,Direct match to QCET leaf for readability.,,,
Faithfulness,both,23,42,QIC-c-3,Consistency with Input,qcet,stage4_llm,QEC-c-2,strong,,strong,alignment with input content,Faithfulness implies input consistency.,,,
Clarity,both,33,30,QOG-w-5.1,Clarity,qcet,stage1_exact,QOG-w-5.1,strong,,strong,clearness of expression,Direct match to QCET leaf.,,,
factual consistency,both,25,36,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,agreement with real-world facts,Synonymous with factual truth.,,,
Naturalness,both,15,45,QEG-w-1,Naturalness (outputs as a whole),qcet,stage1_exact,QEG-w-1,strong,,strong,naturalness of outputs,Exact match to QCET leaf.,,,
factual correctness,both,22,30,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,Real-world truthfulness of content,Direct match to real-world untruth reduction.,,,
coverage,both,16,32,QIC-c-4,Coverage of Topics (given in input),qcet,stage1_exact,QIC-c-4,strong,,strong,inclusion of input topics,Direct match for topic coverage relative to input.,,,
appropriateness,both,11,36,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage1_exact,QEG-w-2,strong,,strong,suitability for context and audience,Exact synonym of QCET's appropriateness leaf.,,,
Readability,both,6,35,QOG-w-2,Readability,qcet,stage1_exact,QOG-w-2,strong,,strong,ease of reading and comprehension,Direct match to QCET leaf.,,,
grammar,both,9,32,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,grammatical correctness,Directly matches QCET leaf for grammatical errors.,,,
semantic equivalence,both,20,18,QTG-c-1,Similarity to Target Outputs (content/meaning),qcet,stage1_exact,QTG-c-1,strong,,strong,meaning equivalence to target,Matches content similarity to target outputs.,,,
Grammaticality,both,5,30,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,absence of grammatical errors,Direct match to QCET leaf.,,,
Hallucination,both,16,18,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,absence of factual untruths,Hallucination directly relates to factual errors.,,,
grammatical correctness,both,4,29,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,absence of grammatical errors,Direct match to QCET's grammaticality definition.,,,
semantic similarity,both,10,23,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),qcet,stage3_split_keep_stage1,QEF-c-1,partial,6,partial,meaning resemblance to references,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
truthfulness,both,20,13,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,adherence to real-world facts,Synonym for factual truth criterion.,,,
Specificity,both,11,20,QIF-c-3,Specificity/Non-specificity (relative to input),qcet,stage1_exact,QIF-c-3,strong,,strong,level of detail relative to input,Matches QCET leaf for specificity relative to input.,,,
meaning preservation,both,3,28,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,consistency of meaning with input,Directly aligns with preserving input meaning.,,,
usefulness,both,9,22,QEG-w-3,Usefulness (nonspecific),qcet,stage1_exact,QEG-w-3,strong,,strong,nonspecific utility to user,Exactly matches QCET's nonspecific usefulness.,,,
comprehensiveness,both,12,18,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,coverage of input content,Measures inclusion of all input points.,,,
understandability,both,8,21,QOG-w-5,Understandability,qcet,stage1_exact,QOG-w-5,strong,,strong,ease of understanding output,Direct synonym of QCET leaf definition.,,,
Truthfulness,both,15,11,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,factual accuracy of output,Direct synonym for real-world factual correctness.,,,
answerability,both,5,21,QIG-c-1,Answerability from Input,qcet,stage1_exact,QIG-c-1,strong,,strong,question's answerability from input,Exactly matches QCET's definition for generated questions.,,,
factual accuracy,both,12,13,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,truthfulness to real-world facts,Direct synonym of QCET's Factual Truth.,,,
content preservation,both,2,22,QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),qcet,stage1_exact,QIF-c-2,strong,,strong,content similarity to input,Direct match to content similarity criterion.,,,
Grammar,both,4,19,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,grammatical correctness of outputs,Directly matches QCET's Grammaticality leaf for form correctness.,,,
complexity,both,10,13,QOF-w-3,Complexity/Non-complexity (outputs as a whole),qcet,stage3_split_keep_stage1,QOF-w-3,partial,5,partial,complexity level of outputs,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
Answerability,both,4,18,QIG-c-1,Answerability from Input,qcet,stage1_exact,QIG-c-1,strong,,strong,ability of questions to be answered from input,Exactly matches QCET's Answerability from Input leaf.,,,
Factual correctness,both,6,14,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,agreement with real-world facts,Direct synonym for QCET factual truth.,,,
logical consistency,both,9,11,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,absence of self-contradictions,Direct match for content consistency.,,,
simplicity,both,3,17,QOF-w-3,Complexity/Non-complexity (outputs as a whole),qcet,stage1_exact,QOF-w-3,strong,,strong,low complexity of output,Direct antonym of complexity.,,,
Understandability,both,6,13,QOG-w-5,Understandability,qcet,stage1_exact,QOG-w-5,strong,,strong,ease of comprehension,Exact match to QCET leaf.,,,
acceptability,both,1,17,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage1_exact,QEG-w-2,strong,,strong,contextual suitability,Direct synonym for appropriateness in given contexts.,,,
answer correctness,both,3,13,QIG-w-2,Degree to which Output Answers Question in Input,qcet,stage1_exact,QIG-w-2,strong,,strong,correctness in answering question,Directly matches QCET leaf for answering input questions.,,,
non-redundancy,human,0,16,QOG-w-1,Nonredundancy (output as a whole),qcet,stage1_exact,QOG-w-1,strong,,strong,lack of redundant elements,Direct synonym for nonredundancy of whole outputs.,,,
speaker similarity,human,0,16,QEF-w-5,Detectability of Speaker/Author Trait,qcet,polysemous_override(was:QEF-f-1),QEF-f-1,strong,,strong,similarity to speaker's form,Matches similarity to non-target reference (speaker).,,,Y
Adequacy,both,2,13,QIG-c-3,Relevance to Input,qcet,stage4_llm,QIC-c-1,strong,,strong,output relevance to input,Standard term for contextual relevance to input.,,,
fidelity,both,2,13,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,faithfulness to input content,Matches QCET's input consistency criterion directly.,,,
logical coherence,both,8,7,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,logical flow of meaning,Direct synonym of QCET's coherence definition.,,,
overall preference,both,1,14,QEG-w-6,User Satisfaction as Affected by Outputs,qcet,stage1_exact,QEG-w-6,strong,,strong,user preference judgment,Preference directly indicates user satisfaction.,,,
semantic consistency,both,5,10,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,meaning consistency within output,Direct match to QCET's internal consistency.,,,
Usefulness,both,3,13,QEG-w-3,Usefulness (nonspecific),qcet,stage1_exact,QEG-w-3,strong,,strong,utility to the user,Direct match to QCET leaf definition.,,,
Factual accuracy,both,6,9,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,truth of content against real world,Direct match to QCET's Factual Truth leaf.,,,
similarity,both,4,14,QTG-w-1,Similarity to Target Outputs (outputs as a whole),qcet,stage3_split_keep_stage1,QTG-w-1,partial,6,partial,similarity to references,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
Complexity,both,9,8,QOF-w-3,Complexity/Non-complexity (outputs as a whole),qcet,stage3_split_keep_stage1,QOF-w-3,partial,5,partial,output complexity level,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
