raw_lowercase,old_qcet_id,new_qcet_id,new_qcet_name,example_case_form,notes
accuracy,QEC-c-1,QOC-w-1,Correctness of Outputs (outputs as a whole),accuracy,
alignment,QIC-c-3,QEG-w-2,Appropriateness (outputs as a whole),Alignment,
character consistency,QOG-c-4,QTC-w-3.2,Character Matching,Character Consistency,
content alignment,QIF-c-2,QEG-c-2,Appropriateness (content/meaning),content alignment,
intent alignment,QIG-c-3,QEG-w-3.1,Usefulness for Task/Information Need,intent alignment,
language correctness,QOC-w-1,QEG-f-2,Appropriateness (form),Language correctness,
overall summary quality,QEG-w-2,AUX-OverallQuality,Overall Quality / Preference,overall summary quality,
overall translation quality,AUX-OverallQuality,QIC-w-1,Translation Accuracy,overall translation quality,
preference alignment,QEG-w-6,AUX-OverallQuality,Overall Quality / Preference,preference alignment,
reasoning correctness,QOC-c-1,QIG-w-3,Quality as Explanation of Input,Reasoning Correctness,
reasoning quality,QOC-c-1,QIG-w-3,Quality as Explanation of Input,reasoning quality,
semantic alignment,QIC-c-3,QOC-c-1,Semantic Correctness,semantic alignment,
sentiment consistency,QIC-c-3,QIF-w-2,Control over Sentiment,sentiment consistency,
speaker similarity,QEF-f-1,QEF-w-5,Detectability of Speaker/Author Trait,speaker similarity,
style consistency,QOG-c-4,QEC-f-1,Adherence to Style Guide,style consistency,
