paper_id,venue,year,tasks,has_auto_metrics,has_llm_judge,has_human_eval
2023.emnlp-main.342,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.817,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.285,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.72,EMNLP,2023,Dialogue Generation,True,True,True
2023.emnlp-main.422,EMNLP,2023,Dialogue Generation,True,False,False
2023.emnlp-main.653,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.154,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.689,EMNLP,2023,Dialogue Generation,True,False,False
2023.emnlp-main.295,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.501,EMNLP,2023,Dialogue Generation,True,False,False
2023.emnlp-main.759,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.231,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.840,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.405,EMNLP,2023,Dialogue Generation,True,False,False
2023.emnlp-main.844,EMNLP,2023,Dialogue Generation,True,True,True
2023.emnlp-main.385,EMNLP,2023,Dialogue Generation,True,True,False
2023.emnlp-main.799,EMNLP,2023,Dialogue Generation,True,True,True
2023.emnlp-main.639,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.769,EMNLP,2023,Dialogue Generation,True,False,False
2023.emnlp-main.110,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.183,EMNLP,2023,Dialogue Generation,True,True,True
2023.emnlp-main.899,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.974,EMNLP,2023,Dialogue Generation,True,True,True
2023.emnlp-main.476,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.187,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.490,EMNLP,2023,Dialogue Generation,True,False,False
2023.emnlp-main.612,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.363,EMNLP,2023,Dialogue Generation,True,False,False
2023.emnlp-main.209,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.808,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.915,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.497,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.439,EMNLP,2023,Dialogue Generation,False,True,True
2023.emnlp-main.982,EMNLP,2023,Dialogue Generation,True,False,True
2023.emnlp-main.394,EMNLP,2023,Dialogue Generation,True,False,False
2023.emnlp-main.861,EMNLP,2023,Dialogue Generation,True,False,True
