paper_id,venue,year,tasks,has_auto_metrics,has_llm_judge,has_human_eval
2023.emnlp-main.326,EMNLP,2023,Question Answering,True,True,True
2023.emnlp-main.787,EMNLP,2023,Question Answering,True,False,False
2023.emnlp-main.335,EMNLP,2023,Question Answering,True,False,False
2023.emnlp-main.803,EMNLP,2023,Question Answering,True,False,False
2023.emnlp-main.268,EMNLP,2023,Question Answering,True,False,False
2023.emnlp-main.107,EMNLP,2023,Question Answering,True,True,False
2023.emnlp-main.35,EMNLP,2023,Question Answering,True,True,False
2023.emnlp-main.220,EMNLP,2023,Question Answering,True,False,False
2023.emnlp-main.928,EMNLP,2023,Question Answering,True,False,True
2023.emnlp-main.547,EMNLP,2023,Question Answering,True,False,False
2023.emnlp-main.728,EMNLP,2023,Question Answering,True,False,False
2023.emnlp-main.330,EMNLP,2023,Question Answering,True,True,False
2023.emnlp-main.593,EMNLP,2023,Question Answering,True,False,False
2023.emnlp-main.10,EMNLP,2023,Question Answering,True,True,True
2023.emnlp-main.632,EMNLP,2023,Question Answering,True,False,False
2023.emnlp-main.489,EMNLP,2023,Question Answering,True,False,True
2024.emnlp-main.33,EMNLP,2024,Question Answering,True,False,True
2024.emnlp-main.751,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.364,EMNLP,2024,Question Answering,True,True,True
2024.emnlp-main.234,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.1109,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.1212,EMNLP,2024,Question Answering,True,True,False
2024.emnlp-main.1007,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.307,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.77,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.155,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.121,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.443,EMNLP,2024,Question Answering,True,True,True
2024.emnlp-main.353,EMNLP,2024,Question Answering,False,True,False
2024.emnlp-main.1194,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.584,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.239,EMNLP,2024,Question Answering,True,True,False
2024.emnlp-main.347,EMNLP,2024,Question Answering,True,True,True
2024.emnlp-main.805,EMNLP,2024,Question Answering,True,True,True
2024.emnlp-main.785,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.178,EMNLP,2024,Question Answering,True,True,False
2024.emnlp-main.1163,EMNLP,2024,Question Answering,True,True,True
2024.emnlp-main.212,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.96,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.650,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.1021,EMNLP,2024,Question Answering,True,False,True
2024.emnlp-main.703,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.322,EMNLP,2024,Question Answering,True,True,False
2024.emnlp-main.199,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.119,EMNLP,2024,Question Answering,True,False,True
2024.emnlp-main.629,EMNLP,2024,Question Answering,True,False,True
2024.emnlp-main.610,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.993,EMNLP,2024,Question Answering,True,False,False
2024.emnlp-main.578,EMNLP,2024,Question Answering,True,True,True
2024.emnlp-main.743,EMNLP,2024,Question Answering,True,True,True
2025.emnlp-main.1362,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.1461,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.1103,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.87,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.461,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.747,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.63,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.222,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.1167,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.1037,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.1753,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.551,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.710,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.143,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.1119,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.512,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.1644,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.1331,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.1729,EMNLP,2025,Question Answering,True,True,True
2025.emnlp-main.1017,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.238,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.1422,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.1007,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.595,EMNLP,2025,Question Answering,False,True,False
2025.emnlp-main.947,EMNLP,2025,Question Answering,True,False,True
2025.emnlp-main.1014,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.813,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.1109,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.248,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.654,EMNLP,2025,Question Answering,True,True,False
2025.emnlp-main.784,EMNLP,2025,Question Answering,True,False,True
2025.emnlp-main.874,EMNLP,2025,Question Answering,True,False,True
2025.emnlp-main.717,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.34,EMNLP,2025,Question Answering,True,False,True
2025.emnlp-main.354,EMNLP,2025,Question Answering,True,False,False
2025.emnlp-main.1642,EMNLP,2025,Question Answering,True,False,True
