criterion,count,qcet_id
Correctness of Outputs (outputs as a whole),480,QOC-w-1
Factual Truth,465,QEC-c-1
Relevance to Input,438,QIG-c-3
Coherence,279,QOG-c-3
Consistency with Input,260,QIC-c-3
Absence of Toxic / Harmful Content,241,QOC-c-2
Usefulness (nonspecific),236,QEG-w-3
Overall Quality / Preference,223,AUX-OverallQuality
Absence of Omissions (relative to input),196,QIC-c-1
Internal Consistency of Outputs,187,QOG-c-4
Fluency,171,QOG-w-3
Appropriateness (outputs as a whole),146,QEG-w-2
Usefulness for Task/Information Need,143,QEG-w-3.1
Informativeness,130,QOG-c-2
Clarity,109,QOG-w-5.1
Semantic Correctness,96,QOC-c-1
Specificity/Non-specificity (relative to input),80,QIF-c-3
Creativity/Non-creativity (outputs as a whole),75,QOF-w-6
Grammaticality,74,QOC-f-1
Engagingness/Interestingness,70,QEF-w-10
Functional Correctness,70,QEC-w-1
Detectability of Speaker/Author Trait,65,QEF-w-5
Absence of Bias / Stereotypes,64,QEC-c-3
Classification Accuracy,59,QTC-w-1
Complexity/Non-complexity (content/meaning),56,QOF-c-3
Naturalness (outputs as a whole),51,QEG-w-1
Adherence to Style Guide,48,QEC-f-1
Nonredundancy (form),46,QOG-f-1
Coverage of Topics (given in input),45,QIC-c-4
Understandability,44,QOG-w-5
Empathy / Emotional Appropriateness,43,QEF-w-11
Complete Target Output Matching,43,QTC-w-3
Refusal Appropriateness,42,QEC-w-2
Degree to which Output Answers Question in Input,42,QIG-w-2
Control over Style,40,QIF-f-2
Absence of Additions (relative to input),39,QIC-c-2
Complexity/Non-complexity (outputs as a whole),38,QOF-w-3
Effect on User Emotion,36,QEF-w-3
Diversity/Non-diversity (outputs as a whole),35,QOF-w-1
Similarity to Target Outputs (content/meaning),33,QTG-c-1
User Satisfaction as Affected by Outputs,32,QEG-w-6
Wellorderedness,31,QOG-c-3.1
Appropriateness of System Response Type,29,QIG-f-1
Readability,28,QOG-w-2
Similarity to Target Outputs (outputs as a whole),28,QTG-w-1
Relative Factual Accuracy,28,QEC-c-2
Nonredundancy (output as a whole),26,QOG-w-1
Similarity/Dissimilarity to Non-target Reference (content/meaning),25,QEF-c-1
Control over Sentiment,24,QIF-w-2
Effect on User Stance,23,QEF-w-7
Quality as Explanation of Input,23,QIG-w-3
Meaning Accuracy,23,QTC-c-1
Appropriateness (content/meaning),23,QEG-c-2
Cohesiveness,22,QOG-c-3.2
Humanlikeness,20,QOG-w-4
Appropriateness (form),18,QEG-f-2
Effect on User Behaviour,18,QEF-w-2
Detectability of Speaker/Author Stance,16,QEF-w-4
Task Completion Speed,14,QEG-w-5.2
Output Length,14,QOF-f-5
Non-AI Likeness,11,QOG-w-4.2
Translation Accuracy,11,QIC-w-1
Answerability from Input,10,QIG-c-1
Diversity/Non-diversity (content/meaning),10,QOF-c-1
Control over Multiple Attributes,10,QIF-w-5
Ease of Communication,9,QEG-w-5.1
Nonredundancy (content/meaning),8,QOG-c-1
Goodness as Explanation of System Behaviour,8,QEG-w-4
Control over Formality/Informality,7,QIF-f-2.1
Humorousness/Non-humorousness,6,QOF-w-5
Win Rate,6,QEG-w-10
Form Accuracy,6,QTC-f-1
Clarity of Referents,6,QEG-w-7
Diversity/Non-diversity (form),6,QOF-f-1
Formality/Informality,5,QOF-f-4
Similarity/Dissimilarity to Input (content/meaning),5,QIF-c-2
Character Matching,5,QTC-w-3.2
Naturalness (form),5,QEG-f-1
Similarity/Dissimilarity to Non-target Reference (outputs as a whole),5,QEF-w-1
Sequence Labelling Accuracy,5,QTC-w-2
Similarity/Dissimilarity to Non-target Reference (form),5,QEF-f-1
Effect on User Opinion,5,QEF-w-6
Spelling Accuracy,4,QOC-f-2
Cross-Dataset Generalisation,4,QTG-w-3
Inclusion of Keywords (given in input),4,QIC-f-2
System Usability as Affected by Outputs,4,QEG-w-5
Adherence to Syntactic Rules,4,QEC-f-2
Poeticness/Non-poeticness (outputs as a whole),4,QOF-w-2
Poeticness/Non-poeticness (form),3,QOF-f-2
Conformance to Syntactic Structure (given in input),3,QIC-f-1
Success of Style Transfer from Sample,3,QIG-f-2
Speech Quality,3,QOG-f-2
Similarity/Dissimilarity to Input (outputs as a whole),3,QIF-w-4
Parse Accuracy (reference-less),3,QIG-w-1
Sequence Alignment Accuracy,2,QTC-w-5
Control over Complexity/Non-complexity (outputs as a whole),2,QIF-w-1
Complete Word Matching,2,QTC-w-3.1
Retrieval Accuracy,2,QTC-w-4
Output Size Relative to Input,2,QIF-f-3
Similarity to Target Outputs (form),2,QTG-f-1
"Absence of Omissions (relative to input, feature)",2,QIF-c-1
Naturalness (content/meaning),2,QEG-c-1
Conversationality/Non-conversationality,1,QOF-w-4
Likelihood According to External Model,1,QEF-w-9
Similarity/Dissimilarity to Input (form),1,QIF-f-4
Speed of Understanding,1,QOG-w-5.1.1
Poeticness/Non-poeticness (content/meaning),1,QOF-c-2
Parse Accuracy (with references),1,QTC-w-6
Performance of an Embedding/Downstream System/Component,1,QEG-w-8
Bias Inversion,1,QIF-w-3
