criterion,count
relevance,187
correctness,173
helpfulness,137
accuracy,111
Relevance,100
coherence,93
fluency,88
Correctness,83
Helpfulness,77
Coherence,67
Fluency,62
consistency,56
faithfulness,43
harmfulness,42
Accuracy,40
completeness,38
Consistency,37
level of detail,37
Completeness,36
Factuality,36
clarity,35
harmlessness,35
informativeness,35
Clarity,33
overall quality,33
factuality,32
safety,31
Informativeness,30
Safety,29
creativity,29
depth,28
Harmlessness,26
factual consistency,25
naturalness,24
Faithfulness,23
quality,23
factual correctness,22
Conciseness,20
Quality,20
conciseness,20
semantic equivalence,20
truthfulness,20
Creativity,19
readability,18
Overall Quality,17
preference,17
Hallucination,16
coverage,16
Empathy,15
Naturalness,15
Truthfulness,15
Depth,14
specificity,14
Overall quality,13
diversity,13
Coverage,12
Harmfulness,12
comprehensiveness,12
factual accuracy,12
Engagement,11
Specificity,11
appropriateness,11
instruction-following,11
precision,11
Comprehensiveness,10
Preference,10
complexity,10
engagement,10
semantic similarity,10
style,10
Complexity,9
Factual consistency,9
Overall,9
alignment,9
engagingness,9
grammar,9
grammaticality,9
logical consistency,9
usefulness,9
Appropriateness,8
Diversity,8
Groundedness,8
Honesty,8
Redundancy,8
efficiency,8
honesty,8
logical coherence,8
response quality,8
toxicity,8
understandability,8
Engagingness,7
Entailment,7
Instruction following,7
Level of detail,7
Logical Coherence,7
Novelty,7
Plausibility,7
adequacy,7
empathy,7
entailment,7
groundedness,7
hallucination,7
instruction following,7
Factual accuracy,6
Factual correctness,6
Hallucination detection,6
Instruction Following,6
Logical coherence,6
Personalization,6
Readability,6
Refusal,6
Toxicity,6
Understandability,6
content,6
contradiction,6
plausibility,6
redundancy,6
support,6
tone,6
topic relevance,6
Actionability,5
Contradiction,5
Factual Accuracy,5
Factual Consistency,5
Feasibility,5
Grammaticality,5
Insightfulness,5
Logic,5
Persuasiveness,5
Precision,5
Reasoning,5
Relevancy,5
answerability,5
difficulty,5
effectiveness,5
hallucination detection,5
information coverage,5
interestingness,5
logic,5
reasonableness,5
reasoning,5
recall,5
