merged_label,total_count,num_variants,variants_with_counts
Detail,60,2,Detail (56); Details (4)
Instruction,59,2,Instruction (58); Instructional (1)
Preference,48,2,Preference (47); Preferences (1)
Emotion,39,2,Emotion (35); Emotions (4)
Information,35,2,Information (34); Informational (1)
Groundedness,20,2,Groundedness (19); Groundness (1)
Error,17,2,Error (11); Errors (6)
Question,15,2,Question (12); Questions (3)
Omission,14,2,Omission (12); Omissions (2)
Interaction,13,4,Interaction (6); Integration (5); Interactions (1); Iteration (1)
Suitability,10,2,Suitability (6); Stability (4)
Violation,9,2,Violation (8); Violations (1)
Reflection,8,2,Reflection (7); Deflection (1)
Conversational,6,2,Conversational (4); Conversation (2)
Response,6,2,Response (5); Responses (1)
Action,5,2,Action (4); Actions (1)
Element,5,2,Element (3); Elements (2)
Rationality,5,2,Rationality (4); Nationality (1)
Relation,5,2,Relation (3); Relations (2)
Values,5,2,Values (3); Value (2)
Behavior,4,2,Behavior (3); Behaviors (1)
Calculation,4,2,Calculation (3); Calculations (1)
Color,4,2,Color (3); Colors (1)
Contribution,4,2,Contribution (3); Contributions (1)
Description,4,2,Description (3); Descriptions (1)
Dimension,4,2,Dimension (2); Dimensions (2)
Document,4,2,Document (3); Documents (1)
Requirements,4,2,Requirements (3); Requirement (1)
Reward,4,2,Reward (3); Rewards (1)
Skill,4,2,Skill (2); Skills (2)
Strength,4,2,Strength (2); Strengths (2)
Additions,3,2,Additions (2); Addition (1)
Character,3,2,Character (2); Characters (1)
Constraint,3,2,Constraint (2); Constraints (1)
Difference,3,2,Difference (2); Differences (1)
Educational,3,2,Educational (2); Education (1)
Likability,3,2,Likability (2); Likeability (1)
Mistakes,3,2,Mistakes (2); Mistake (1)
Option,3,2,Option (2); Options (1)
Other,3,2,Other (2); Others (1)
Standard,3,2,Standard (2); Standards (1)
Suggestion,3,2,Suggestion (2); Suggestions (1)
Topicality,3,2,Topicality (2); Typicality (1)
Agree,2,2,Agree (1); Agrees (1)
Appeal,2,2,Appeal (1); Appeals (1)
Attribute,2,2,Attribute (1); Attributes (1)
Cognition,2,2,Cognition (1); Cognitions (1)
Comment,2,2,Comment (1); Comments (1)
Contradict,2,2,Contradict (1); Contradicted (1)
Environment,2,2,Environment (1); Environmental (1)
Evaluation,2,2,Evaluation (1); Evaluations (1)
Experience,2,2,Experience (1); Experiences (1)
Insight,2,2,Insight (1); Insights (1)
Meaning,2,2,Meaning (1); Meanings (1)
Scope,2,2,Scope (1); Scoped (1)
Stats,2,2,Stats (1); Status (1)
