original,normalized,count,qcet_id
fluency,Fluency,477,QOG-w-3
relevance,Relevance to Input,280,QIG-c-3
Fluency,Fluency,269,QOG-w-3
coherence,Coherence,248,QOG-c-3
correctness,Correctness of Outputs (outputs as a whole),211,QOC-w-1
informativeness,Informativeness,183,QOG-c-2
Coherence,Coherence,163,QOG-c-3
Relevance,Relevance to Input,155,QIG-c-3
accuracy,Correctness of Outputs (outputs as a whole),139,QOC-w-1
naturalness,Naturalness (outputs as a whole),116,QEG-w-1
overall quality,Overall Quality / Preference,108,AUX-OverallQuality
faithfulness,Consistency with Input,101,QIC-c-3
Informativeness,Informativeness,97,QOG-c-2
consistency,Internal Consistency of Outputs,90,QOG-c-4
Correctness,Correctness of Outputs (outputs as a whole),87,QOC-w-1
helpfulness,Usefulness (nonspecific),75,QEG-w-3
Accuracy,Correctness of Outputs (outputs as a whole),71,QOC-w-1
Consistency,Internal Consistency of Outputs,71,QOG-c-4
grammaticality,Grammaticality,67,QOC-f-1
completeness,Absence of Omissions (relative to input),65,QIC-c-1
adequacy,Relevance to Input,64,QIG-c-3
preference,Overall Quality / Preference,60,AUX-OverallQuality
factuality,Factual Truth,58,QEC-c-1
clarity,Clarity,56,QOG-w-5.1
readability,Readability,54,QOG-w-2
quality,Overall Quality / Preference,46,AUX-OverallQuality
Naturalness,Naturalness (outputs as a whole),45,QEG-w-1
Completeness,Absence of Omissions (relative to input),45,QIC-c-1
conciseness,Nonredundancy (form),45,QOG-f-1
Factuality,Factual Truth,42,QEC-c-1
Faithfulness,Consistency with Input,42,QIC-c-3
Helpfulness,Usefulness (nonspecific),39,QEG-w-3
diversity,Diversity/Non-diversity (outputs as a whole),39,QOF-w-1
Overall,Overall Quality / Preference,38,AUX-OverallQuality
factual consistency,Factual Truth,36,QEC-c-1
appropriateness,Appropriateness (outputs as a whole),36,QEG-w-2
Overall Quality,Overall Quality / Preference,36,AUX-OverallQuality
Readability,Readability,35,QOG-w-2
plausibility,Factual Truth,35,QEC-c-1
coverage,Coverage of Topics (given in input),32,QIC-c-4
grammar,Grammaticality,32,QOC-f-1
validity,Factual Truth,32,QEC-c-1
Empathy,Empathy / Emotional Appropriateness,31,QEF-w-11
Conciseness,Nonredundancy (form),31,QOG-f-1
Clarity,Clarity,30,QOG-w-5.1
factual correctness,Factual Truth,30,QEC-c-1
Grammaticality,Grammaticality,30,QOC-f-1
grammatical correctness,Grammaticality,29,QOC-f-1
meaning preservation,Consistency with Input,28,QIC-c-3
specificity,Specificity/Non-specificity (relative to input),27,QIF-c-3
engagingness,Engagingness/Interestingness,27,QEF-w-10
Quality,Overall Quality / Preference,26,AUX-OverallQuality
hallucination,Factual Truth,26,QEC-c-1
semantic similarity,Similarity/Dissimilarity to Non-target Reference (content/meaning),23,QEF-c-1
usefulness,Usefulness (nonspecific),22,QEG-w-3
