raw_lowercase,old_qcet_id,old_qcet_name,occ,example_case_form,new_qcet_id,new_qcet_name,notes
semantic similarity,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),33,semantic similarity,,,
similarity,QTG-w-1,Similarity to Target Outputs (outputs as a whole),30,Similarity,,,
speaker similarity,QEF-f-1,Similarity/Dissimilarity to Non-target Reference (form),16,speaker similarity,,,
semantic similarity,QTG-c-1,Similarity to Target Outputs (content/meaning),7,Semantic Similarity,,,
meaning similarity,QTG-c-1,Similarity to Target Outputs (content/meaning),5,meaning similarity,,,
dissimilarity,QEF-w-1,Similarity/Dissimilarity to Non-target Reference (outputs as a whole),3,dissimilarity,,,
similarity to reference,QTG-w-1,Similarity to Target Outputs (outputs as a whole),3,similarity to reference,,,
ad similarity,(none),(none),2,AD SIMILARITY,,,
content similarity,QTG-c-1,Similarity to Target Outputs (content/meaning),2,content similarity,,,
event type definition similarity,QTG-c-1,Similarity to Target Outputs (content/meaning),2,event type definition similarity,,,
narrative similarity,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),2,narrative similarity,,,
object similarity,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),2,Object similarity,,,
phonetic similarity,QEF-f-1,Similarity/Dissimilarity to Non-target Reference (form),2,phonetic similarity,,,
similarity between conversational tones,QEF-w-1,Similarity/Dissimilarity to Non-target Reference (outputs as a whole),2,Similarity between conversational tones,,,
stylistic similarity,QEF-f-1,Similarity/Dissimilarity to Non-target Reference (form),2,Stylistic Similarity,,,
textual similarity,QTG-w-1,Similarity to Target Outputs (outputs as a whole),2,Textual similarity,,,
timbre similarity,QTG-f-1,Similarity to Target Outputs (form),2,timbre similarity,,,
analogical similarity,(none),(none),1,analogical similarity,,,
audio similarity,QTG-f-1,Similarity to Target Outputs (form),1,audio similarity,,,
background similarity,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),1,background similarity,,,
character relation similarity,(none),(none),1,character relation similarity,,,
coding style similarity,QEF-f-1,Similarity/Dissimilarity to Non-target Reference (form),1,coding style similarity,,,
cosine similarity,(none),(none),1,Cosine Similarity,,,
directive correctness (structural similarity),QIC-f-1,Conformance to Syntactic Structure (given in input),1,Directive correctness (structural similarity),,,
empathic similarity,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),1,empathic similarity,,,
event-level similarity,QTG-c-1,Similarity to Target Outputs (content/meaning),1,Event-level Similarity,,,
factual similarity,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),1,factual similarity,,,
font style similarity,(none),(none),1,Font Style Similarity,,,
free-text description similarity,QTG-w-1,Similarity to Target Outputs (outputs as a whole),1,Free-text Description Similarity,,,
free-text similarity,QTG-w-1,Similarity to Target Outputs (outputs as a whole),1,Free-text Similarity,,,
functional similarity,QEF-w-1,Similarity/Dissimilarity to Non-target Reference (outputs as a whole),1,Functional similarity,,,
genre similarity,QEF-f-1,Similarity/Dissimilarity to Non-target Reference (form),1,Genre similarity,,,
information similarity,(none),(none),1,information similarity,,,
intent similarity,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),1,intent similarity,,,
interaction style similarity,(none),(none),1,Interaction Style Similarity,,,
layout similarity,(none),(none),1,layout similarity,,,
minor similarity,(none),(none),1,Minor similarity,,,
overall similarity,QTG-w-1,Similarity to Target Outputs (outputs as a whole),1,overall similarity,,,
perceived similarity,QTG-w-1,Similarity to Target Outputs (outputs as a whole),1,perceived similarity,,,
perspective similarity,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),1,perspective similarity,,,
process similarity,(none),(none),1,process similarity,,,
pun pair phonetic/orthographic similarity,(none),(none),1,pun pair phonetic/orthographic similarity,,,
result similarity,QTG-w-1,Similarity to Target Outputs (outputs as a whole),1,result similarity,,,
scope similarity,(none),(none),1,scope similarity,,,
segmentation similarity,(none),(none),1,Segmentation Similarity,,,
semantic similarity (adequacy),QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),1,semantic similarity (adequacy),,,
semantic similarity (meaning preservation),QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),1,Semantic similarity (meaning preservation),,,
similarity assessment,(none),(none),1,Similarity assessment,,,
similarity between user requests,(none),(none),1,Similarity between user requests,,,
similarity to expert feedback,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),1,Similarity to expert feedback,,,
similarity to gold,QTG-w-1,Similarity to Target Outputs (outputs as a whole),1,similarity to gold,,,
similarity to ground truth,QTG-w-1,Similarity to Target Outputs (outputs as a whole),1,similarity to ground truth,,,
similarity to ground-truth,QTG-w-1,Similarity to Target Outputs (outputs as a whole),1,similarity to ground-truth,,,
similarity to human description,QEF-w-1,Similarity/Dissimilarity to Non-target Reference (outputs as a whole),1,similarity to human description,,,
similarity to human descriptions,QEF-w-1,Similarity/Dissimilarity to Non-target Reference (outputs as a whole),1,similarity to human descriptions,,,
similarity to parent node,(none),(none),1,similarity to parent node,,,
similarity to personal thoughts,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),1,Similarity to personal thoughts,,,
similarity to query,QIF-w-4,Similarity/Dissimilarity to Input (outputs as a whole),1,similarity to query,,,
similarity to self,(none),(none),1,Similarity to Self,,,
speaker similarity,QEF-w-5,Detectability of Speaker/Author Trait,1,Speaker similarity,,,
structural similarity,QEF-f-1,Similarity/Dissimilarity to Non-target Reference (form),1,structural similarity,,,
structure similarity,QTG-f-1,Similarity to Target Outputs (form),1,Structure similarity,,,
style similarity,QIF-f-2,Control over Style,1,style similarity,,,
style similarity ordering,(none),(none),1,Style similarity ordering,,,
subject similarity,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),1,Subject similarity,,,
substantial similarity,(none),(none),1,Substantial similarity,,,
surface similarity,QTG-f-1,Similarity to Target Outputs (form),1,surface similarity,,,
syntax similarity,(none),(none),1,syntax similarity,,,
topic similarity,QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),1,topic similarity,,,
topical similarity,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),1,Topical Similarity,,,
translation similarity,QTG-w-1,Similarity to Target Outputs (outputs as a whole),1,Translation Similarity,,,
user intent similarity,QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),1,User Intent Similarity,,,
user similarity,QEF-w-5,Detectability of Speaker/Author Trait,1,user similarity,,,
visual similarity,(none),(none),1,visual similarity,,,
writing style similarity,QEF-f-1,Similarity/Dissimilarity to Non-target Reference (form),1,Writing Style Similarity,,,
