root_word,raw_lowercase,raw_string,occurrences_llm,occurrences_human,total_occ,pass1_qcet_id,pass1_qcet_name,pass1_fit,stage4_qcet_id,stage4_qcet_name,stage4_source,diverged,proposed_qcet_id,notes
accuracy,accuracy,accuracy,111,139,250,QEC-c-1,Factual Truth,partial,QEC-c-1,Factual Truth,stage4_llm,,,
accuracy,accuracy,Accuracy,40,71,111,QOC-w-1,Correctness of Outputs (outputs as a whole),strong,QEC-c-1,Factual Truth,stage4_llm,Y,,
accuracy,answer accuracy,answer accuracy,2,4,6,QIG-w-2,Degree to which Output Answers Question in Input,strong,QIG-w-2,Degree to which Output Answers Question in Input,stage1_exact,,,
accuracy,factual accuracy,factual accuracy,12,13,25,QEC-c-1,Factual Truth,strong,QEC-c-1,Factual Truth,stage1_exact,,,
accuracy,factual accuracy,Factual accuracy,6,9,15,QEC-c-1,Factual Truth,strong,QEC-c-1,Factual Truth,stage1_exact,,,
accuracy,factual accuracy,Factual Accuracy,5,7,12,QEC-c-1,Factual Truth,strong,QEC-c-1,Factual Truth,stage1_exact,,,
accuracy,knowledge accuracy,Knowledge Accuracy,1,2,3,QEC-c-1,Factual Truth,strong,QEC-c-1,Factual Truth,stage1_exact,,,
accuracy,semantic accuracy,semantic accuracy,3,3,6,QOC-c-1,Semantic Correctness,strong,QOC-c-1,Semantic Correctness,stage1_exact,,,
accuracy,semantic accuracy,Semantic accuracy,2,1,3,QOC-c-1,Semantic Correctness,strong,QOC-c-1,Semantic Correctness,stage1_exact,,,
accuracy,style accuracy,Style Accuracy,0,4,4,QEC-f-1,Adherence to Style Guide,strong,QEC-f-1,Adherence to Style Guide,stage1_exact,,,
accuracy,style transfer accuracy,Style Transfer Accuracy,0,4,4,QIG-f-2,Success of Style Transfer from Sample,strong,QIG-f-2,Success of Style Transfer from Sample,stage1_exact,,,
accuracy,style transfer accuracy,style transfer accuracy,1,2,3,QIG-f-2,Success of Style Transfer from Sample,partial,QIG-f-2,Success of Style Transfer from Sample,stage4_llm,,,
accuracy,translation accuracy,Translation accuracy,1,4,5,QIC-w-1,Translation Accuracy,strong,QIC-w-1,Translation Accuracy,stage1_exact,,,
accuracy,translation accuracy,translation accuracy,0,4,4,QIC-w-1,Translation Accuracy,strong,QIC-w-1,Translation Accuracy,stage1_exact,,,
