paper_id,venue,year,tasks,has_auto_metrics,has_llm_judge,has_human_eval
2023.emnlp-main.943,EMNLP,2023,Machine Translation,True,False,True
2023.emnlp-main.874,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.933,EMNLP,2023,Machine Translation,True,False,True
2023.emnlp-main.860,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.571,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.873,EMNLP,2023,Machine Translation,True,False,True
2023.emnlp-main.627,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.113,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.690,EMNLP,2023,Machine Translation,True,False,True
2023.emnlp-main.603,EMNLP,2023,Machine Translation,True,False,True
2023.emnlp-main.518,EMNLP,2023,Machine Translation,True,False,True
2023.emnlp-main.532,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.964,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.857,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.1033,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.42,EMNLP,2023,Machine Translation,True,False,True
2023.emnlp-main.854,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.173,EMNLP,2023,Machine Translation,True,False,True
2023.emnlp-main.733,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.754,EMNLP,2023,Machine Translation,False,False,True
2023.emnlp-main.26,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.798,EMNLP,2023,Machine Translation,True,False,True
2023.emnlp-main.851,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.243,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.736,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.836,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.605,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.638,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.1046,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.314,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.43,EMNLP,2023,Machine Translation,True,False,False
2023.emnlp-main.303,EMNLP,2023,Machine Translation,True,False,False
