eval_type,metric,criterion,criterion_short,k11,n_metric,n_criterion,n_total,lr,g2,q_value
Human,qafacteval,speed of understanding,Speed of Understanding,1,12,5,1711,35.395833333333336,5.052683048315292,0.4438209956074458
Human,chrf++,spelling accuracy,Spelling,2,23,7,1711,29.356521739130436,9.162251007860046,0.1149435204223374
Human,comet qe,naturalness (form),Naturalness (form),1,10,7,1711,28.35,4.709230393222958,0.4886772346784259
Human,auroc,naturalness (form),Naturalness (form),1,10,7,1711,28.35,4.709230393222958,0.4886772346784259
Human,spearman,formality/informality,Formality,1,12,6,1711,28.316666666666663,4.662913999297965,0.491642485251565
Human,prism,spelling accuracy,Spelling,1,11,7,1711,25.75757575757576,4.5159649463731455,0.5116019320138794
Human,summaqa,output length,Output Length,1,10,8,1711,24.3,4.433130761571126,0.5267096736218565
Human,supert,output length,Output Length,1,10,8,1711,24.3,4.433130761571126,0.5267096736218565
Human,gleu,similarity/dissimilarity to input (outputs as a whole),Input Similarity,1,14,6,1711,24.24285714285714,4.353851597739507,0.5347940361287675
Human,ibleu,diversity/non-diversity (form),Diversity (form),1,12,7,1711,23.59722222222222,4.3409688886701865,0.5349119920704362
LaaJ,ndcg,answerability from input,Answerability,2,10,7,632,24.880000000000003,8.761120729638119,0.0852757105730799
LaaJ,spearman correlation,non-ai likeness,Non-AI Likeness,2,21,5,632,19.396825396825395,7.262026764963217,0.1415520697596882
LaaJ,auroc,meaning accuracy,Meaning Accuracy,2,10,9,632,17.771428571428572,7.653797050897651,0.1311623468961337
LaaJ,chrf,translation accuracy,Translation Accuracy,2,13,8,632,15.871794871794872,7.069268744510429,0.1448738964949285
LaaJ,mrr,adherence to style guide,Style-Guide Adherence,2,13,8,632,15.871794871794872,7.069268744510429,0.1448738964949285
LaaJ,cider,similarity to target outputs (content/meaning),Target Similarity (content),3,16,11,632,14.437499999999998,10.090274417458778,0.0504851104712755
LaaJ,bleu,non-ai likeness,Non-AI Likeness,4,149,5,632,12.966442953020133,7.164032659176576,0.1448738964949285
LaaJ,cosine similarity,non-ai likeness,Non-AI Likeness,1,13,5,632,11.903846153846152,2.9953461319623154,0.5604546200958308
LaaJ,chrf,cohesiveness,Cohesiveness,2,13,10,632,11.903846153846152,6.129839595048519,0.2060243414521818
LaaJ,alignscore,relative factual accuracy,Faithfulness,2,11,12,632,11.290909090909093,6.062199157102958,0.2105983118228488
