original,normalized,count,qcet_id
relevance,Relevance to Input,187,QIG-c-3
correctness,Correctness of Outputs (outputs as a whole),173,QOC-w-1
helpfulness,Usefulness (nonspecific),137,QEG-w-3
accuracy,Correctness of Outputs (outputs as a whole),111,QOC-w-1
Relevance,Relevance to Input,100,QIG-c-3
coherence,Coherence,93,QOG-c-3
fluency,Fluency,88,QOG-w-3
Correctness,Correctness of Outputs (outputs as a whole),83,QOC-w-1
Helpfulness,Usefulness (nonspecific),77,QEG-w-3
Coherence,Coherence,67,QOG-c-3
Fluency,Fluency,62,QOG-w-3
consistency,Internal Consistency of Outputs,56,QOG-c-4
faithfulness,Consistency with Input,43,QIC-c-3
harmfulness,Absence of Toxic / Harmful Content,42,QOC-c-2
Accuracy,Correctness of Outputs (outputs as a whole),40,QOC-w-1
completeness,Absence of Omissions (relative to input),38,QIC-c-1
Consistency,Internal Consistency of Outputs,37,QOG-c-4
level of detail,Specificity/Non-specificity (relative to input),37,QIF-c-3
Factuality,Factual Truth,36,QEC-c-1
Completeness,Absence of Omissions (relative to input),36,QIC-c-1
informativeness,Informativeness,35,QOG-c-2
clarity,Clarity,35,QOG-w-5.1
harmlessness,Absence of Toxic / Harmful Content,35,QOC-c-2
Clarity,Clarity,33,QOG-w-5.1
overall quality,Overall Quality / Preference,33,AUX-OverallQuality
factuality,Factual Truth,32,QEC-c-1
safety,Absence of Toxic / Harmful Content,31,QOC-c-2
Informativeness,Informativeness,30,QOG-c-2
creativity,Creativity/Non-creativity (outputs as a whole),29,QOF-w-6
Safety,Absence of Toxic / Harmful Content,29,QOC-c-2
depth,Complexity/Non-complexity (content/meaning),28,QOF-c-3
Harmlessness,Absence of Toxic / Harmful Content,26,QOC-c-2
factual consistency,Factual Truth,25,QEC-c-1
naturalness,Naturalness (outputs as a whole),24,QEG-w-1
Faithfulness,Consistency with Input,23,QIC-c-3
quality,Overall Quality / Preference,23,AUX-OverallQuality
factual correctness,Factual Truth,22,QEC-c-1
semantic equivalence,Similarity to Target Outputs (content/meaning),20,QTG-c-1
truthfulness,Factual Truth,20,QEC-c-1
Quality,Overall Quality / Preference,20,AUX-OverallQuality
conciseness,Nonredundancy (form),20,QOG-f-1
Conciseness,Nonredundancy (form),20,QOG-f-1
Creativity,Creativity/Non-creativity (outputs as a whole),19,QOF-w-6
readability,Readability,18,QOG-w-2
Overall Quality,Overall Quality / Preference,17,AUX-OverallQuality
preference,Overall Quality / Preference,17,AUX-OverallQuality
coverage,Coverage of Topics (given in input),16,QIC-c-4
Hallucination,Factual Truth,16,QEC-c-1
Naturalness,Naturalness (outputs as a whole),15,QEG-w-1
Truthfulness,Factual Truth,15,QEC-c-1
Empathy,Empathy / Emotional Appropriateness,15,QEF-w-11
specificity,Specificity/Non-specificity (relative to input),14,QIF-c-3
Depth,Complexity/Non-complexity (content/meaning),14,QOF-c-3
Overall quality,Overall Quality / Preference,13,AUX-OverallQuality
diversity,Diversity/Non-diversity (outputs as a whole),13,QOF-w-1
comprehensiveness,Absence of Omissions (relative to input),12,QIC-c-1
factual accuracy,Factual Truth,12,QEC-c-1
Harmfulness,Absence of Toxic / Harmful Content,12,QOC-c-2
Coverage,Coverage of Topics (given in input),12,QIC-c-4
appropriateness,Appropriateness (outputs as a whole),11,QEG-w-2
Specificity,Specificity/Non-specificity (relative to input),11,QIF-c-3
instruction-following,Consistency with Input,11,QIC-c-3
Engagement,Engagingness/Interestingness,11,QEF-w-10
precision,__DROP__,11,AUX-Other
semantic similarity,Similarity/Dissimilarity to Non-target Reference (content/meaning),10,QEF-c-1
complexity,Complexity/Non-complexity (outputs as a whole),10,QOF-w-3
Preference,Overall Quality / Preference,10,AUX-OverallQuality
style,Control over Style,10,QIF-f-2
engagement,Engagingness/Interestingness,10,QEF-w-10
Comprehensiveness,Absence of Omissions (relative to input),10,QIC-c-1
grammaticality,Grammaticality,9,QOC-f-1
grammar,Grammaticality,9,QOC-f-1
usefulness,Usefulness (nonspecific),9,QEG-w-3
logical consistency,Internal Consistency of Outputs,9,QOG-c-4
Complexity,Complexity/Non-complexity (outputs as a whole),9,QOF-w-3
Factual consistency,Factual Truth,9,QEC-c-1
engagingness,Engagingness/Interestingness,9,QEF-w-10
Overall,Overall Quality / Preference,9,AUX-OverallQuality
