normalized,total_count,num_variants,variants_with_counts
BLEU,2384,5,BLEU (2380); BLEU-C (1); BLEU-L (1); BLEU-P (1); BLEU@5 (1)
ACCURACY,2248,25,Accuracy (1938); accuracy (265); Accuracy@1 (8); Accuracy@k (4); Weighted Accuracy (4); Accuracy@10 (3); Accuracy@5 (3); Mean Accuracy (3); Average Accuracy (2); Macro Accuracy (2); Weighted Average Accuracy (2); Accuracy% (1); Accuracy-K (1); Accuracy-U (1); Accuracy@0 (1); Accuracy@50 (1); Accuracy@60 (1); Accuracy@K (1); Binary Accuracy (1); Binary accuracy (1); Mean Average Accuracy (1); Micro Accuracy (1); accuracy@K (1); accuracy@k (1); average accuracy (1)
ROUGE,1838,8,ROUGE (1774); ROUGE-L (53); ROUGE-2 (3); ROUGE-S (3); ROUGE-1 (2); Average ROUGE (1); Rouge-L (1); Weighted ROUGE (1)
F1,1548,36,F1 (1136); F1-score (116); F1 Score (52); Macro-F1 (45); F1 score (28); Macro F1 (27); Micro-F1 (27); F1-Score (19); Micro F1 (11); Weighted F1 (11); macro-F1 (10); F1@5 (8); micro-F1 (7); F1-macro (5); F1@10 (5); F1@k (5); macro F1 (5); Macro F1-score (4); F1@K (3); F1@3 (2); Macro Average F1 (2); Macro F1 Score (2); Weighted F1-score (2); Weighted-F1 (2); macro F1-score (2); micro F1 (2); F1 macro (1); F1-5 (1); F1-Macro (1); F1-micro (1); F1@1 (1); F1@128 (1); F1_Macro (1); Macro F1-Score (1); micro-average F1 (1); weighted F1-score (1)
BERTSCORE,886,3,BERTScore (880); BERTSCORE (3); BertScore (3)
RECALL,796,35,Recall (514); recall (54); Recall@k (44); Recall@10 (32); Recall@K (30); Recall@5 (28); Recall@1 (27); Recall@100 (13); Recall@20 (8); Average Recall (4); Recall@50 (4); recall@k (4); Macro Recall (3); Macro-Recall (3); Recall-5 (3); Recall@1000 (3); Micro Recall (2); Micro-Recall (2); Recall@3 (2); Recall@0.5 (1); Recall@0.7 (1); Recall@1 (R@1) (1); Recall@128 (1); Recall@2 (1); Recall@30 (1); Recall@4 (1); Recall@5 (R@5) (1); Recall@k (R@k) (1); mean recall@K (1); micro-average recall (1); recall score (1); recall-5 (1); recall@10 (1); recall@20 (1); recall@K (1)
PERPLEXITY,745,4,Perplexity (664); perplexity (79); Δ Perplexity (1); ε-perplexity (1)
EXACT MATCH,701,12,Exact Match (555); EM (94); exact match (26); Exact match (14); Exact-match (3); Exact-Match (2); exact_match (2); Binary exact match (1); EM@1 (1); EXACT MATCH (1); EXACT_MATCH (1); exact-match (1)
PRECISION,590,27,Precision (447); precision (46); Precision@1 (23); Precision@k (17); Precision@5 (8); Precision@K (6); Average Precision (5); Mean Average Precision (5); Precision@10 (5); Macro Precision (3); Macro-Precision (3); Micro Precision (2); Micro-Precision (2); Precision@20 (2); Precision@3 (2); mean average precision (2); precision@1 (2); Mean Precision (1); Mean Precision@1 (1); Precision@100 (1); Precision@2 (1); average precision (1); mean precision (1); micro-average precision (1); precision@3 (1); precision@5 (1); precision@k (1)
CIDER,247,4,CIDEr (242); CIDER (3); CIDEr-D (1); CIDEr-R (1)
DISTINCT,240,13,Distinct (99); Distinct-2 (33); Distinct-n (31); Distinct-1 (30); DISTINCT (13); Distinct-N (8); Distinct-3 (7); distinct-n (7); distinct-1 (4); distinct-2 (4); Distinct-4 (2); distinct-3 (1); distinct@k (1)
PASS,238,15,Pass@1 (86); pass@1 (58); Pass@k (34); pass@k (33); Pass@10 (7); pass@10 (7); Pass@K (3); Pass@5 (2); pass@5 (2); PASS@1 (1); Pass (1); Pass@100 (1); Pass@8 (1); pass@25 (1); pass@K (1)
BLEURT,222,3,BLEURT (219); BLEURT-20 (2); BleuRT (1)
COMET,210,2,COMET (204); COMET-22 (6)
CHRF,160,4,chrF (79); ChrF (46); CHRF (34); chrf (1)
COSINE SIMILARITY,144,3,Cosine Similarity (98); cosine similarity (30); Cosine similarity (16)
PEARSON CORRELATION,134,3,Pearson correlation (94); Pearson Correlation (39); Pearson correlation (r) (1)
WIN RATE,131,6,Win Rate (93); win rate (13); win-rate (9); Win rate (8); Win-rate (7); win_rate (1)
NDCG,127,16,NDCG (56); nDCG@10 (21); nDCG (15); NDCG@10 (9); NDCG@3 (7); NDCG@K (7); nDCG@20 (2); nDCG@3 (2); NDCG@100 (1); NDCG@5 (1); NDCG@k (1); nDCG@1 (1); nDCG@30 (1); nDCG@K (1); nDCG@k (1); α-nDCG (1)
MRR,127,8,MRR (104); MRR@10 (12); MRR@k (4); MRR@5 (3); MRR-100 (1); MRR@3 (1); MRR@K (1); mRR (1)
SUCCESS RATE,127,7,Success Rate (107); success rate (13); Success rate (3); Average Success Rate (1); Binary Success Rate (1); Success rate δ≤2 (1); Weighted Success Rate (1)
BARTSCORE,126,3,BARTScore (121); BartScore (3); BARTSCORE (2)
SPEARMAN CORRELATION,102,2,Spearman correlation (63); Spearman Correlation (39)
SELF BLEU,101,3,Self-BLEU (88); self-BLEU (12); SELF-BLEU (1)
CHRF++,98,3,chrF++ (55); ChrF++ (30); CHRF++ (13)
HITS,89,20,Hits@1 (39); Hits@10 (12); Hits@3 (9); Hits@k (4); Hits@5 (3); Hits@K (3); HITS (2); Hits@20 (2); hits@1 (2); hits@10 (2); hits@k (2); HITS@1 (1); HITS@10 (1); HITS@3 (1); HITS@5 (1); HITS@K (1); HITS@k (1); Hits (1); Hits@1/K (1); Hits@100 (1)
MOVERSCORE,82,4,MoverScore (79); MOVERSCORE (1); MOVERScore (1); moverscore (1)
AUC,77,2,AUC (76); Weighted AUC (1)
MAP,72,10,MAP (41); mAP (18); MAP@K (5); MAP@5 (2); MAP@100 (1); MAP@1000 (1); MAP@20 (1); MAP@50 (1); MAP@k (1); mAP@10 (1)
SACREBLEU,69,3,SacreBLEU (56); sacreBLEU (11); SACREBLEU (2)
ENTROPY,68,5,Entropy (63); entropy (2); Average Entropy (1); Entropy (H) (1); Entropy-n (1)
EXACT MATCH ACCURACY,67,7,Exact Match Accuracy (52); exact match accuracy (5); exact-match accuracy (4); Exact match accuracy (3); Exact Match accuracy (1); Exact-Match Accuracy (1); Exact-match Accuracy (1)
EXECUTION ACCURACY,67,2,Execution Accuracy (62); execution accuracy (5)
R,66,22,R@1 (12); R@10 (9); R@5 (9); R² (6); R@K (5); R@k (4); R@2 (3); R@100 (2); R@50 (2); ΔR (2); %R>Q (1); R(x) (1); R*-score (1); R@20 (1); R@3 (1); R@500 (1); R@8 (1); R@k/N (1); R^2 (1); R_h (1); R_o (1); r@10 (1)
MAUVE,66,2,MAUVE (63); Mauve (3)
