metric,criterion,criterion_short,k11,k12,k21,k22,n_metric,n_criterion,n_total,lr,g2,p_value,q_value,reject_q05
rouge,factual truth,Factuality,46,119,94,373,165,140,632,1.3850419084461638,4.1030457512375484,0.0428060347988141,0.4120644086685849,False
bleu,factual truth,Factuality,29,120,111,372,149,140,632,0.8469073099945583,0.8350809199251037,0.3608074306486413,0.740781719303381,False
accuracy,factual truth,Factuality,32,95,108,397,127,140,632,1.1781860600758238,0.8351844217417517,0.3607776706061816,0.740781719303381,False
exact match,factual truth,Factuality,4,33,136,459,37,140,632,0.472972972972973,3.4073364091528298,0.064907135826205,0.4980044328651322,False
moverscore,factual truth,Factuality,7,12,133,480,19,140,632,1.6980609418282546,2.177195711003402,0.1400694780648391,0.6716266264226144,False
meteor,factual truth,Factuality,16,44,124,448,60,140,632,1.2301075268817203,0.7529966478064578,0.3855291296772321,0.740781719303381,False
unieval,factual truth,Factuality,13,8,127,484,21,140,632,2.9782527184101992,15.956289973577093,6.482202697840432e-05,0.0045599802824423,True
g eval,factual truth,Factuality,9,14,131,478,23,140,632,1.8191171589777633,3.499081401008673,0.0614028789660207,0.4882863722993564,False
bertscore,factual truth,Factuality,38,95,102,397,133,140,632,1.3977591036414565,3.852525494517728,0.0496711455321522,0.4410122581471183,False
bartscore,factual truth,Factuality,14,20,126,472,34,140,632,1.954248366013072,6.56030055966038,0.010427875198394,0.1746861273812552,False
questeval,factual truth,Factuality,6,4,134,488,10,140,632,2.785074626865671,6.764452634383029,0.0092991442086543,0.1604541014870648,False
ndcg,factual truth,Factuality,3,7,137,485,10,140,632,1.362043795620438,0.3376953202191552,0.5611625571988551,0.740781719303381,False
recall,factual truth,Factuality,14,43,126,449,57,140,632,1.120857699805068,0.2062763156900402,0.6497017778991354,0.7610934829687047,False
f1,factual truth,Factuality,18,75,122,417,93,140,632,0.8551031200423056,0.5080118860103608,0.4760007642179316,0.740781719303381,False
win rate,factual truth,Factuality,3,19,137,473,22,140,632,0.6071665560716655,1.066829281258204,0.3016627358896596,0.740781719303381,False
precision,factual truth,Factuality,8,28,132,464,36,140,632,1.0033670033670032,0.0001093973102005,0.9916548246787522,0.9949186364988688,False
spearman correlation,factual truth,Factuality,5,16,135,476,21,140,632,1.0776014109347445,0.0340379932199439,0.8536260246972605,0.894968914166014,False
pearson correlation,factual truth,Factuality,5,10,135,482,15,140,632,1.5234567901234566,1.0117744176531858,0.3144781184560311,0.740781719303381,False
bleurt,factual truth,Factuality,9,23,131,469,32,140,632,1.2881679389312977,0.6604466101378441,0.4164023173843258,0.740781719303381,False
qafacteval,factual truth,Factuality,8,2,132,490,10,140,632,3.76969696969697,15.424725849669144,8.585751484999367e-05,0.0056083355235942,True
cider,factual truth,Factuality,3,13,137,479,16,140,632,0.843065693430657,0.1144636801937262,0.735118425759194,0.8109358267271204,False
mrr,factual truth,Factuality,4,9,136,483,13,140,632,1.400452488687783,0.5288615946639492,0.467085862272467,0.740781719303381,False
distinct,factual truth,Factuality,0,16,140,476,16,140,632,0.0,8.130675328212135,0.0043522533132977,0.1047404119739675,False
attack success rate asr,factual truth,Factuality,0,14,140,478,14,140,632,0.0,7.101264017322663,0.007702961030335,0.1448738964949285,False
perplexity,factual truth,Factuality,2,27,138,465,29,140,632,0.3013493253373313,5.18254523649362,0.0228148796627951,0.2897170094111515,False
alignscore,factual truth,Factuality,6,5,134,487,11,140,632,2.5278154681139755,5.552174104010954,0.0184577467104176,0.2482295495099545,False
chair,factual truth,Factuality,2,8,138,484,10,140,632,0.9014492753623188,0.0279418093763874,0.8672457013162719,0.9053609518878204,False
chrf,factual truth,Factuality,2,11,138,481,13,140,632,0.6900780379041248,0.3828636339961495,0.5360746384899813,0.740781719303381,False
comet,factual truth,Factuality,3,24,137,468,27,140,632,0.4906731549067315,2.3109901055730697,0.1284621994995944,0.6454872606724128,False
cosine similarity,factual truth,Factuality,6,7,134,485,13,140,632,2.13203214695752,3.7395942787754466,0.053137346306385,0.4628009828303724,False
auroc,factual truth,Factuality,3,7,137,485,10,140,632,1.362043795620438,0.3376953202191552,0.5611625571988551,0.740781719303381,False
rouge,relevance to input,Relevance,55,110,92,375,165,147,632,1.6920289855072463,12.067004934113822,0.0005132208566805,0.0213336578833821,True
bleu,relevance to input,Relevance,41,108,106,377,149,147,632,1.253830568570343,1.927716695331613,0.1650084665122666,0.7237421708655531,False
accuracy,relevance to input,Relevance,23,104,124,381,127,147,632,0.7375539751079503,2.4660490214666986,0.1163300137429248,0.6275541896847227,False
exact match,relevance to input,Relevance,5,32,142,453,37,147,632,0.5662352493338408,2.3432182942589836,0.1258293554696067,0.640817202277556,False
